ZIP Code, Homes at Risk , Total Homes 
32569, 3 ," 5,531 "
33716, 1 ," 2,860 "
33711, 10 ," 8,739 "
33167, 1 ," 4,849 "
33141, 349 ," 16,250 "
33569, 5 ," 9,576 "
33786, 10 ," 1,480 "
33709, 10 ," 12,165 "
33570, 17 ," 11,110 "
33572, 17 ," 10,410 "
33705, 69 ," 10,993 "
33708, 194 ," 12,241 "
33181, 12 ," 6,891 "
33401, 46 ," 14,050 "
33782, 2 ," 8,680 "
32081, 11 ," 6,657 "
33001, 1 , 492 
33149, 2 ," 7,324 "
34614, 1 ," 11,843 "
33462, 11 ," 12,311 "
32102, 14 ," 2,599 "
32189, 120 ," 8,333 "
32725, 1 ," 20,904 "
34236, 2 ," 9,358 "
33760, 1 ," 5,414 "
32720, 4 ," 16,170 "
32210, 4 ," 23,397 "
32541, 1 ," 17,407 "
32224, 31 ," 13,796 "
32225, 11 ," 20,501 "
32759, 2 ," 6,196 "
33189, 5 ," 7,887 "
32136, 294 ," 6,063 "
34231, 2 ," 16,976 "
33770, 3 ," 9,580 "
34205, 8 ," 13,320 "
33924, 152 ," 1,699 "
33903, 40 ," 11,273 "
33150, 6 ," 6,786 "
33070, 297 ," 4,034 "
33136, 4 ," 2,891 "
33139," 1,584 "," 27,698 "
33156, 11 ," 13,091 "
33458, 6 ," 22,275 "
33133, 15 ," 14,135 "
33777, 1 ," 7,957 "
32205, 1 ," 12,674 "
34653, 21 ," 19,636 "
33487, 14 ," 12,032 "
32187, 28 ," 1,216 "
33477, 2 ," 11,571 "
34957, 300 ," 15,515 "
32218, 2 ," 24,081 "
33455, 64 ," 11,974 "
34139, 5 , 943 
