PRISM Time Series Data
Location:  Lat: 39.5984   Lon: -122.3922   Elev: 522ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,7.09,36.8,46.5,56.2
1981-02,1.55,38.4,50.2,62.0
1981-03,3.55,41.0,52.0,63.1
1981-04,1.25,44.7,58.8,73.0
1981-05,0.92,52.3,67.0,81.7
1981-06,0.00,62.0,78.3,94.7
1981-07,0.00,60.6,78.4,96.3
1981-08,0.00,59.4,77.0,94.6
1981-09,0.54,56.8,73.4,90.0
1981-10,2.58,46.7,60.3,74.0
1981-11,5.16,44.9,54.6,64.3
1981-12,3.68,39.7,47.7,55.7
1982-01,4.93,31.7,41.9,52.1
1982-02,1.42,37.3,49.2,61.2
1982-03,4.27,38.8,49.5,60.1
1982-04,1.32,41.2,54.0,66.7
1982-05,0.01,50.4,67.2,84.0
1982-06,1.29,55.2,70.2,85.1
1982-07,0.00,58.9,75.3,91.6
1982-08,0.02,58.5,75.4,92.2
1982-09,0.89,56.0,71.0,85.9
1982-10,3.74,47.9,61.6,75.2
1982-11,4.13,38.4,49.0,59.6
1982-12,2.98,36.5,45.9,55.3
1983-01,6.96,35.7,45.1,54.5
1983-02,6.00,41.5,49.8,58.0
1983-03,9.91,43.0,51.3,59.6
1983-04,3.59,42.1,53.1,64.1
1983-05,0.50,49.7,64.5,79.2
1983-06,0.31,55.7,72.5,89.2
1983-07,0.01,58.0,74.9,91.8
1983-08,0.10,60.1,77.0,93.8
1983-09,0.23,57.3,74.0,90.6
1983-10,0.66,50.8,64.7,78.7
1983-11,7.45,42.6,51.9,61.3
1983-12,9.43,39.6,46.2,52.9
1984-01,0.44,37.0,48.3,59.6
1984-02,1.41,36.7,49.1,61.5
1984-03,1.03,43.3,56.3,69.3
1984-04,0.49,42.6,56.7,70.7
1984-05,0.11,53.1,68.5,84.0
1984-06,0.06,58.0,73.6,89.3
1984-07,0.00,65.4,81.8,98.3
1984-08,0.42,60.1,76.9,93.7
1984-09,0.14,58.4,75.6,92.9
1984-10,1.14,48.3,59.9,71.5
1984-11,6.71,41.1,50.1,59.2
1984-12,2.12,35.2,44.7,54.1
1985-01,0.61,32.7,44.2,55.6
1985-02,0.65,37.7,50.9,64.1
1985-03,3.06,36.8,49.3,61.8
1985-04,0.40,46.1,61.0,76.0
1985-05,0.00,47.8,63.4,78.9
1985-06,0.00,60.5,77.1,93.7
1985-07,0.00,63.7,80.2,96.6
1985-08,0.03,56.4,73.6,90.7
1985-09,0.97,53.5,68.3,83.2
1985-10,0.60,47.5,62.2,77.0
1985-11,2.74,37.4,48.6,59.8
1985-12,2.32,32.7,43.5,54.3
1986-01,4.22,39.9,48.9,57.8
1986-02,9.00,41.9,51.4,61.0
1986-03,4.12,44.3,56.1,68.0
1986-04,0.84,43.6,57.4,71.2
1986-05,0.38,49.1,64.7,80.2
1986-06,0.00,57.7,73.6,89.5
1986-07,0.01,59.5,75.9,92.3
1986-08,0.00,60.0,77.8,95.6
1986-09,0.38,52.1,66.9,81.7
1986-10,0.20,48.8,64.0,79.3
1986-11,0.16,41.1,55.7,70.3
1986-12,1.28,34.5,45.5,56.5
1987-01,2.39,34.8,44.4,54.0
1987-02,2.58,37.6,49.3,61.0
1987-03,3.81,39.4,51.0,62.7
1987-04,0.03,45.6,62.3,79.0
1987-05,0.23,53.6,69.1,84.5
1987-06,0.00,58.9,75.2,91.4
1987-07,0.11,58.2,73.7,89.2
1987-08,0.00,59.4,77.0,94.6
1987-09,0.01,56.2,73.2,90.3
1987-10,1.03,53.2,68.7,84.2
1987-11,2.19,41.5,52.4,63.4
1987-12,4.42,37.1,44.6,52.1
1988-01,5.31,36.1,45.7,55.2
1988-02,0.36,37.2,52.7,68.1
1988-03,0.33,40.3,55.2,70.2
1988-04,1.74,45.6,58.9,72.1
1988-05,1.18,47.2,61.9,76.6
1988-06,0.49,56.6,72.1,87.5
1988-07,0.00,64.9,82.0,99.0
1988-08,0.00,59.6,77.0,94.4
1988-09,0.00,56.0,74.3,92.5
1988-10,0.11,49.9,67.3,84.8
1988-11,2.44,41.8,51.7,61.5
1988-12,2.19,34.8,46.1,57.4
1989-01,0.59,32.1,44.1,56.1
1989-02,0.49,34.4,45.6,56.9
1989-03,4.17,41.2,51.7,62.2
1989-04,0.56,47.6,62.2,76.9
1989-05,0.25,50.6,65.8,80.9
1989-06,0.29,59.1,74.1,89.0
1989-07,0.00,61.0,77.8,94.7
1989-08,0.00,58.6,75.2,91.8
1989-09,3.09,55.3,71.0,86.6
1989-10,1.59,48.2,61.6,75.1
1989-11,0.49,38.4,54.0,69.5
1989-12,0.00,31.7,46.7,61.7
1990-01,3.60,34.2,45.3,56.4
1990-02,1.22,32.7,45.4,58.2
1990-03,0.94,40.6,54.7,68.8
1990-04,0.10,47.7,62.9,78.1
1990-05,2.32,50.8,64.4,78.0
1990-06,0.00,55.7,72.2,88.7
1990-07,0.00,64.8,81.2,97.5
1990-08,0.41,60.7,78.0,95.3
1990-09,0.15,55.8,73.3,90.8
1990-10,0.23,48.9,65.7,82.4
1990-11,0.41,37.0,52.0,67.0
1990-12,0.84,27.7,41.2,54.7
1991-01,0.38,32.2,45.6,59.0
1991-02,2.74,40.0,53.8,67.7
1991-03,7.63,38.0,47.8,57.7
1991-04,1.38,42.4,55.6,68.8
1991-05,0.48,47.6,61.9,76.1
1991-06,0.46,54.9,70.4,85.8
1991-07,0.00,64.2,80.6,96.9
1991-08,0.00,57.7,74.3,91.0
1991-09,0.00,58.8,77.2,95.6
1991-10,0.10,53.2,69.8,86.4
1991-11,0.61,41.8,55.5,69.2
1991-12,2.98,34.2,46.3,58.3
1992-01,1.86,34.0,44.2,54.4
1992-02,6.41,42.2,52.4,62.6
1992-03,4.39,44.0,55.1,66.1
1992-04,0.70,45.8,60.3,74.8
1992-05,0.02,54.2,71.7,89.1
1992-06,1.12,58.3,73.6,88.9
1992-07,0.18,59.7,76.4,93.0
1992-08,0.00,60.4,79.0,97.6
1992-09,0.00,55.7,73.8,91.9
1992-10,1.68,50.4,66.0,81.7
1992-11,0.33,39.8,52.9,66.0
1992-12,4.88,33.6,43.6,53.7
1993-01,8.90,33.8,43.2,52.5
1993-02,7.22,37.3,46.6,55.9
1993-03,1.02,45.4,56.5,67.6
1993-04,0.68,43.0,56.7,70.5
1993-05,2.14,50.3,64.5,78.7
1993-06,0.78,56.5,71.7,86.9
1993-07,0.00,61.0,77.9,94.8
1993-08,0.00,58.7,75.8,92.9
1993-09,0.00,54.0,72.7,91.5
1993-10,1.01,51.6,65.8,79.9
1993-11,1.49,35.8,51.0,66.2
1993-12,1.47,33.8,45.1,56.5
1994-01,2.42,35.8,47.9,59.9
1994-02,4.40,35.4,46.3,57.2
1994-03,0.24,40.9,55.5,70.0
1994-04,1.40,43.8,59.0,74.2
1994-05,1.39,51.7,65.3,78.9
1994-06,0.00,54.4,71.6,88.9
1994-07,0.00,61.7,79.0,96.4
1994-08,0.00,57.0,75.7,94.4
1994-09,0.00,55.3,73.4,91.5
1994-10,0.74,46.3,62.0,77.8
1994-11,2.89,34.9,45.7,56.4
1994-12,2.95,33.1,41.6,50.0
1995-01,18.56,42.0,47.2,52.4
1995-02,0.76,41.6,53.1,64.5
1995-03,9.00,41.1,51.0,60.9
1995-04,0.65,42.4,55.9,69.5
1995-05,1.97,49.9,62.6,75.4
1995-06,0.80,55.8,70.5,85.2
1995-07,0.01,60.6,76.8,93.0
1995-08,0.00,58.9,76.8,94.6
1995-09,0.00,55.9,73.2,90.5
1995-10,0.00,47.2,64.7,82.1
1995-11,0.00,41.2,57.0,72.8
1995-12,5.37,39.7,48.5,57.3
1996-01,4.88,36.7,46.4,56.0
1996-02,5.81,42.0,51.4,60.8
1996-03,2.04,41.7,54.4,67.2
1996-04,1.24,44.1,58.2,72.4
1996-05,2.02,50.7,65.2,79.7
1996-06,0.24,57.8,74.1,90.4
1996-07,0.00,64.8,81.3,97.8
1996-08,0.00,61.7,79.7,97.7
1996-09,0.13,56.0,72.4,88.9
1996-10,1.73,49.2,63.6,78.0
1996-11,2.50,42.9,54.4,65.9
1996-12,6.99,39.5,48.0,56.5
1997-01,6.88,38.0,46.4,54.8
1997-02,0.33,38.7,51.1,63.5
1997-03,1.63,42.8,56.7,70.5
1997-04,0.18,45.8,59.6,73.5
1997-05,0.55,54.6,70.1,85.6
1997-06,0.36,59.5,73.7,88.0
1997-07,0.12,62.1,78.5,94.9
1997-08,0.59,60.6,76.0,91.5
1997-09,0.26,57.7,73.6,89.5
1997-10,0.65,48.6,62.7,76.9
1997-11,5.93,45.2,54.4,63.6
1997-12,2.24,37.3,46.3,55.3
1998-01,7.61,41.5,47.4,53.4
1998-02,16.04,41.1,47.3,53.5
1998-03,3.00,42.3,53.4,64.4
1998-04,2.63,44.2,55.3,66.3
1998-05,4.81,47.5,57.5,67.5
1998-06,1.21,56.9,69.6,82.3
1998-07,0.00,63.0,78.5,94.0
1998-08,0.00,61.9,79.8,97.6
1998-09,0.08,59.4,74.7,89.9
1998-10,1.11,47.6,61.9,76.1
1998-11,2.70,41.8,51.5,61.2
1998-12,1.14,32.4,43.7,55.1
1999-01,0.87,34.9,46.4,57.8
1999-02,3.39,36.6,46.2,55.8
1999-03,3.70,38.7,49.6,60.5
1999-04,1.20,42.5,57.1,71.7
1999-05,0.05,49.2,64.9,80.7
