PRISM Time Series Data
Location:  Lat: 40.1257   Lon: -122.2339   Elev: 335ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,5.76,40.7,48.6,56.5
1981-02,1.93,42.0,52.6,63.3
1981-03,4.84,44.5,54.3,64.2
1981-04,1.75,49.5,61.8,74.1
1981-05,2.21,56.4,69.7,83.0
1981-06,0.00,66.2,81.0,95.8
1981-07,0.00,65.1,82.3,99.4
1981-08,0.00,63.2,81.0,98.7
1981-09,0.92,60.7,76.1,91.5
1981-10,3.71,49.7,61.8,73.8
1981-11,6.21,46.8,55.6,64.5
1981-12,4.03,41.5,49.0,56.5
1982-01,3.84,33.7,43.2,52.7
1982-02,2.40,39.5,49.9,60.2
1982-03,3.46,41.2,50.2,59.2
1982-04,1.73,43.9,54.9,65.9
1982-05,0.01,54.4,69.8,85.2
1982-06,1.62,59.2,72.7,86.2
1982-07,0.32,62.2,77.3,92.5
1982-08,0.00,62.7,78.1,93.6
1982-09,1.47,59.4,72.5,85.5
1982-10,2.81,51.0,63.1,75.1
1982-11,4.68,40.8,50.1,59.3
1982-12,4.02,38.9,47.2,55.6
1983-01,7.78,39.0,46.7,54.4
1983-02,6.68,44.6,51.7,58.8
1983-03,10.76,47.1,53.7,60.4
1983-04,3.58,44.9,55.1,65.3
1983-05,0.71,53.6,67.5,81.4
1983-06,0.44,59.9,74.4,88.8
1983-07,0.00,61.5,76.6,91.7
1983-08,0.23,64.1,79.4,94.8
1983-09,1.28,60.0,74.8,89.5
1983-10,0.73,52.9,65.4,77.9
1983-11,7.05,44.9,51.8,58.8
1983-12,10.40,41.9,46.7,51.5
1984-01,0.42,37.8,47.9,58.1
1984-02,1.97,38.0,49.1,60.2
1984-03,1.27,45.8,56.7,67.7
1984-04,0.71,45.5,56.9,68.3
1984-05,0.05,56.4,70.1,83.9
1984-06,0.38,61.5,75.8,90.1
1984-07,0.00,68.7,84.8,100.8
1984-08,0.49,63.1,79.5,95.9
1984-09,0.20,61.8,77.6,93.5
1984-10,1.84,49.4,60.2,71.0
1984-11,6.77,42.2,49.7,57.2
1984-12,1.97,36.5,44.8,53.1
1985-01,0.68,34.5,45.1,55.6
1985-02,0.99,40.0,52.4,64.8
1985-03,3.06,40.4,51.5,62.6
1985-04,0.06,50.4,64.0,77.5
1985-05,0.16,53.4,68.0,82.5
1985-06,0.07,66.1,80.9,95.8
1985-07,0.00,66.9,83.2,99.5
1985-08,0.55,60.7,76.8,92.8
1985-09,2.39,56.0,69.5,83.0
1985-10,1.21,50.1,63.7,77.3
1985-11,3.84,38.4,48.7,59.0
1985-12,2.44,34.7,43.7,52.8
1986-01,4.59,42.2,50.0,57.8
1986-02,9.25,45.1,53.3,61.5
1986-03,5.02,47.2,57.8,68.3
1986-04,0.98,47.2,59.4,71.6
1986-05,0.51,53.0,66.8,80.7
1986-06,0.00,62.4,76.8,91.3
1986-07,0.00,63.4,79.4,95.3
1986-08,0.00,61.5,78.8,96.1
1986-09,1.60,54.0,66.8,79.6
1986-10,0.30,49.5,63.5,77.4
1986-11,0.27,41.2,55.4,69.6
1986-12,1.64,35.8,45.8,55.9
1987-01,4.20,34.8,44.1,53.4
1987-02,3.35,38.6,49.7,60.7
1987-03,5.21,41.7,52.2,62.7
1987-04,0.08,47.5,63.1,78.7
1987-05,0.06,55.8,70.1,84.4
1987-06,0.00,61.1,76.6,92.0
1987-07,0.12,60.2,75.1,90.1
1987-08,0.00,60.7,78.1,95.5
1987-09,0.00,56.5,73.3,90.2
1987-10,0.73,52.3,68.2,84.0
1987-11,2.38,41.8,52.5,63.1
1987-12,7.23,37.8,44.9,52.1
1988-01,6.03,36.6,45.6,54.6
1988-02,0.15,37.9,53.0,68.1
1988-03,0.48,42.0,56.1,70.2
1988-04,1.28,49.3,61.5,73.8
1988-05,1.98,50.7,64.8,78.9
1988-06,1.42,61.3,75.6,89.9
1988-07,0.00,69.5,86.5,103.5
1988-08,0.07,63.6,81.1,98.7
1988-09,0.00,59.6,77.2,94.8
1988-10,0.09,52.5,70.1,87.6
1988-11,4.62,43.6,52.5,61.3
1988-12,2.73,35.8,46.5,57.2
1989-01,1.60,33.4,45.0,56.6
1989-02,0.58,34.8,46.2,57.6
1989-03,5.78,43.5,52.8,62.1
1989-04,1.56,50.3,64.3,78.2
1989-05,0.84,53.0,67.2,81.4
1989-06,0.48,61.8,76.4,91.0
1989-07,0.00,63.8,81.1,98.5
1989-08,0.03,61.1,77.8,94.5
1989-09,4.92,56.5,72.6,88.6
1989-10,5.10,48.4,62.4,76.3
1989-11,0.85,40.2,54.9,69.6
1989-12,0.00,34.1,47.4,60.7
1990-01,5.22,36.2,46.4,56.6
1990-02,1.51,34.3,46.4,58.5
1990-03,1.73,43.8,56.6,69.4
1990-04,0.23,50.6,64.8,78.9
1990-05,2.98,52.9,65.9,78.9
1990-06,0.00,58.7,74.6,90.5
1990-07,0.39,67.2,83.3,99.5
1990-08,0.46,64.1,80.3,96.5
1990-09,0.09,57.7,75.2,92.7
1990-10,0.14,51.1,67.6,84.2
1990-11,0.94,38.2,52.3,66.3
1990-12,0.94,28.7,41.6,54.5
1991-01,0.56,34.0,46.6,59.2
1991-02,2.48,41.8,55.0,68.3
1991-03,9.89,40.0,48.8,57.6
1991-04,0.70,45.8,57.9,70.0
1991-05,0.91,50.7,63.9,77.1
1991-06,0.13,58.4,72.5,86.6
1991-07,0.12,66.9,82.8,98.7
1991-08,0.00,60.5,76.5,92.4
1991-09,0.00,61.0,79.2,97.4
1991-10,0.26,55.5,71.9,88.2
1991-11,0.71,44.2,56.1,68.0
1991-12,3.87,35.9,46.6,57.2
