PRISM Time Series Data
Location:  Lat: 38.6867   Lon: -121.9017   Elev: 128ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,5.44,40.3,47.2,54.2
1981-02,1.01,41.6,52.1,62.6
1981-03,4.15,42.9,53.4,63.9
1981-04,0.57,46.7,61.1,75.5
1981-05,0.27,53.1,68.6,84.2
1981-06,0.00,61.5,79.1,96.7
1981-07,0.00,57.1,77.3,97.5
1981-08,0.00,57.1,76.0,94.9
1981-09,0.45,56.0,72.8,89.5
1981-10,2.30,47.6,61.1,74.7
1981-11,6.37,47.2,56.3,65.4
1981-12,4.19,42.1,49.1,56.2
1982-01,6.28,33.9,42.5,51.1
1982-02,2.59,40.2,50.9,61.5
1982-03,6.42,42.1,51.9,61.7
1982-04,4.97,44.9,57.0,69.2
1982-05,0.01,51.2,68.1,84.9
1982-06,0.22,54.4,70.4,86.5
1982-07,0.00,56.6,74.9,93.1
1982-08,0.01,57.4,75.0,92.6
1982-09,2.77,56.8,71.0,85.3
1982-10,2.81,50.2,63.2,76.3
1982-11,6.00,40.7,49.1,57.5
1982-12,2.64,38.3,46.3,54.4
1983-01,7.02,37.8,44.2,50.6
1983-02,6.52,43.9,51.5,59.1
1983-03,9.04,45.9,53.8,61.7
1983-04,3.36,44.7,55.7,66.7
1983-05,0.31,51.1,66.3,81.5
1983-06,0.11,56.3,73.3,90.4
1983-07,0.00,56.9,74.2,91.4
1983-08,0.06,59.7,77.0,94.2
1983-09,0.61,58.3,74.4,90.4
1983-10,0.74,52.0,66.1,80.1
1983-11,6.67,44.6,52.9,61.2
1983-12,7.48,42.9,48.8,54.7
1984-01,0.43,37.8,46.8,55.7
1984-02,1.46,38.6,49.3,60.1
1984-03,1.22,45.9,58.3,70.7
1984-04,0.46,45.2,58.9,72.5
1984-05,0.00,54.0,70.2,86.5
1984-06,0.19,56.4,73.5,90.5
1984-07,0.00,61.5,79.9,98.2
1984-08,0.27,58.6,76.9,95.3
1984-09,0.07,59.0,76.2,93.4
1984-10,1.46,48.7,61.1,73.5
1984-11,6.76,42.7,51.2,59.8
1984-12,1.28,36.5,44.5,52.5
1985-01,0.99,33.9,41.8,49.8
1985-02,2.07,38.4,51.0,63.7
1985-03,3.04,39.8,51.2,62.5
1985-04,0.33,49.0,63.7,78.4
1985-05,0.00,49.4,65.4,81.5
1985-06,0.05,59.1,76.8,94.5
1985-07,0.00,60.4,78.9,97.5
1985-08,0.03,55.5,73.3,91.1
1985-09,0.46,54.0,68.9,83.8
1985-10,0.55,49.3,63.8,78.2
1985-11,4.16,40.3,50.2,60.2
1985-12,3.01,35.1,42.2,49.2
1986-01,3.89,42.6,50.0,57.3
1986-02,10.09,45.2,53.7,62.2
1986-03,4.87,47.8,58.5,69.2
1986-04,0.74,46.6,60.0,73.4
1986-05,0.09,52.0,67.3,82.6
1986-06,0.00,57.1,74.2,91.3
1986-07,0.00,58.1,75.8,93.6
1986-08,0.00,56.0,75.4,94.7
1986-09,0.79,51.8,66.8,81.8
1986-10,0.10,50.2,65.0,79.9
1986-11,0.14,43.4,57.3,71.1
1986-12,1.24,37.2,46.0,54.9
1987-01,2.35,36.6,45.1,53.5
1987-02,3.51,40.9,51.3,61.6
1987-03,3.51,43.0,53.8,64.5
1987-04,0.13,48.1,64.6,81.1
1987-05,0.08,54.9,70.0,85.1
1987-06,0.00,56.7,74.3,92.0
1987-07,0.00,56.0,72.9,89.7
1987-08,0.00,57.7,75.9,94.0
1987-09,0.00,54.8,72.6,90.4
1987-10,0.92,53.8,68.7,83.6
1987-11,2.22,43.1,53.4,63.7
1987-12,5.25,39.5,46.3,53.2
1988-01,5.32,38.6,47.0,55.3
1988-02,0.59,39.4,53.3,67.2
1988-03,0.35,43.0,57.1,71.2
1988-04,1.54,48.0,61.0,74.0
1988-05,0.87,50.3,64.5,78.7
1988-06,0.53,56.9,72.9,88.8
1988-07,0.00,62.5,81.2,100.0
1988-08,0.00,58.8,76.6,94.4
1988-09,0.00,55.4,73.6,91.7
1988-10,0.10,50.9,67.2,83.5
1988-11,2.01,45.2,54.1,63.0
1988-12,3.26,36.9,46.8,56.7
1989-01,0.73,34.1,44.6,55.2
1989-02,0.92,36.2,46.8,57.4
1989-03,5.27,45.7,54.8,63.9
1989-04,0.39,49.2,63.6,78.0
1989-05,0.03,51.7,66.1,80.6
1989-06,0.29,57.1,73.1,89.2
1989-07,0.00,57.9,77.1,96.3
1989-08,0.14,56.5,74.3,92.1
1989-09,2.50,54.9,70.9,86.9
1989-10,2.13,49.6,63.3,76.9
1989-11,1.02,40.9,54.8,68.6
1989-12,0.00,33.9,44.5,55.1
1990-01,4.67,36.3,46.3,56.3
1990-02,3.33,36.0,47.2,58.3
1990-03,1.00,43.2,56.0,68.8
1990-04,0.29,50.1,64.4,78.7
1990-05,2.17,52.4,66.3,80.2
1990-06,0.00,56.2,73.4,90.5
1990-07,0.00,60.5,79.1,97.6
1990-08,0.00,60.5,77.6,94.6
1990-09,0.00,57.3,74.3,91.4
1990-10,0.11,51.0,67.5,84.0
1990-11,0.33,40.4,53.8,67.3
1990-12,1.22,30.4,42.0,53.6
1991-01,0.38,35.8,46.9,58.1
1991-02,2.96,43.2,55.1,67.0
1991-03,9.25,42.0,50.7,59.5
1991-04,0.38,46.0,58.9,71.8
1991-05,0.27,50.3,64.4,78.5
1991-06,0.36,55.0,71.1,87.2
1991-07,0.00,60.5,78.7,96.9
1991-08,0.00,56.8,74.1,91.4
1991-09,0.00,57.4,76.2,94.9
1991-10,0.54,54.2,70.4,86.5
1991-11,0.32,44.1,56.7,69.2
1991-12,2.69,36.9,46.7,56.6
1992-01,2.33,36.4,43.5,50.6
1992-02,8.27,45.3,54.4,63.5
1992-03,3.21,47.3,57.2,67.2
1992-04,0.65,50.2,64.0,77.9
1992-05,0.00,55.8,72.9,90.0
1992-06,0.22,57.9,73.8,89.7
1992-07,0.00,59.6,76.8,94.0
1992-08,0.00,60.1,79.1,98.1
1992-09,0.00,56.5,74.1,91.7
1992-10,2.17,53.2,67.7,82.1
1992-11,0.19,43.3,55.1,66.9
1992-12,6.95,36.5,44.4,52.3
1993-01,11.50,36.9,45.0,53.1
1993-02,7.07,40.9,49.4,57.9
1993-03,2.18,48.2,58.5,68.7
1993-04,0.87,48.0,60.4,72.9
1993-05,0.87,53.3,66.7,80.0
1993-06,0.71,58.9,73.9,88.9
1993-07,0.00,59.7,76.9,94.1
1993-08,0.00,59.0,76.3,93.6
1993-09,0.00,55.6,73.5,91.5
1993-10,0.71,53.1,66.6,80.2
1993-11,2.49,41.2,53.5,65.9
1993-12,2.00,36.6,45.1,53.6
1994-01,2.48,37.5,47.6,57.6
1994-02,3.53,38.8,48.8,58.7
1994-03,0.12,44.1,57.4,70.7
1994-04,0.64,47.3,61.4,75.5
1994-05,1.19,52.1,66.4,80.7
1994-06,0.00,55.5,73.1,90.7
1994-07,0.00,57.3,76.5,95.6
1994-08,0.00,56.6,76.1,95.5
1994-09,0.03,56.1,73.3,90.6
1994-10,0.80,49.5,64.1,78.7
1994-11,4.10,38.8,48.4,58.0
1994-12,3.07,37.0,44.0,51.0
1995-01,13.77,45.0,50.2,55.3
1995-02,0.28,44.5,53.1,61.7
1995-03,9.01,44.5,53.4,62.3
1995-04,0.64,46.3,58.8,71.2
1995-05,1.26,51.4,64.5,77.6
1995-06,0.73,57.2,72.0,86.8
1995-07,0.00,60.3,76.6,92.9
1995-08,0.00,58.5,76.8,95.1
1995-09,0.00,56.7,73.8,90.9
1995-10,0.00,51.4,67.0,82.6
1995-11,0.02,45.6,59.5,73.3
1995-12,7.06,42.4,50.5,58.7
1996-01,4.75,41.1,48.7,56.2
1996-02,8.48,45.7,53.9,62.0
1996-03,2.25,45.3,56.9,68.5
1996-04,2.28,48.7,61.6,74.4
1996-05,2.28,53.7,67.6,81.5
1996-06,0.00,57.9,74.6,91.4
1996-07,0.00,61.4,80.0,98.7
1996-08,0.00,60.7,79.3,97.8
1996-09,0.00,54.5,71.9,89.4
1996-10,1.87,50.8,64.9,79.0
1996-11,1.59,46.1,56.0,65.8
1996-12,6.97,43.1,50.5,57.8
1997-01,10.07,41.9,48.6,55.3
1997-02,0.23,42.8,53.4,63.9
1997-03,0.66,45.6,59.0,72.3
1997-04,0.15,49.5,63.0,76.5
1997-05,0.42,56.8,72.7,88.6
1997-06,0.17,60.1,75.1,90.1
1997-07,0.00,60.2,77.6,94.9
1997-08,0.24,60.1,76.4,92.7
1997-09,0.05,59.8,75.7,91.7
1997-10,0.45,50.6,64.5,78.3
1997-11,5.35,47.7,56.8,65.9
1997-12,2.29,39.2,47.3,55.4
1998-01,5.76,43.2,49.1,55.0
1998-02,12.69,43.2,49.5,55.7
1998-03,1.87,45.0,55.3,65.7
1998-04,1.68,46.7,58.2,69.7
1998-05,2.63,49.7,60.0,70.4
1998-06,0.03,55.9,69.3,82.8
1998-07,0.00,60.1,77.5,94.9
1998-08,0.00,59.9,78.4,96.8
1998-09,0.50,59.8,74.6,89.4
1998-10,0.79,49.2,62.9,76.6
1998-11,2.57,43.9,53.2,62.6
1998-12,1.34,34.1,44.3,54.5
1999-01,1.84,37.4,45.5,53.6
1999-02,4.97,39.6,48.6,57.7
1999-03,1.86,42.0,52.3,62.6
1999-04,1.39,46.2,59.1,72.0
1999-05,0.06,50.5,65.9,81.3
1999-06,0.04,55.9,72.1,88.4
1999-07,0.00,57.7,75.0,92.2
1999-08,0.00,59.2,75.4,91.7
1999-09,0.00,57.5,74.5,91.5
1999-10,0.27,51.6,67.3,83.0
1999-11,1.61,45.2,56.0,66.8
1999-12,0.27,36.4,49.0,61.6
2000-01,5.11,40.8,49.4,57.9
2000-02,7.88,44.0,51.4,58.8
2000-03,1.93,44.7,56.0,67.3
2000-04,1.61,49.0,62.9,76.7
2000-05,1.06,54.3,68.4,82.5
