PRISM Time Series Data
Location:  Lat: 37.2316   Lon: -121.6948   Elev: 1247ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,6.09,44.3,51.4,58.5
1981-02,1.42,43.9,52.4,61.0
1981-03,4.05,44.2,52.0,59.9
1981-04,0.24,45.4,56.2,67.1
1981-05,0.26,48.5,60.8,73.1
1981-06,0.00,56.3,70.6,85.0
1981-07,0.00,54.8,69.6,84.4
1981-08,0.00,55.5,69.4,83.2
1981-09,0.00,56.8,68.8,80.8
1981-10,1.98,49.3,59.6,70.0
1981-11,6.17,50.6,56.9,63.3
1981-12,2.41,45.5,51.5,57.6
1982-01,6.27,37.5,45.1,52.6
1982-02,2.58,43.2,51.7,60.3
1982-03,6.27,43.1,50.2,57.2
1982-04,5.50,45.0,53.4,61.8
1982-05,0.00,48.5,60.9,73.3
1982-06,0.26,51.0,61.6,72.1
1982-07,0.00,54.3,67.0,79.7
1982-08,0.00,55.4,68.3,81.3
1982-09,1.33,55.9,66.7,77.5
1982-10,2.07,51.7,61.8,71.9
1982-11,4.52,45.2,52.0,58.8
1982-12,4.07,42.4,48.6,54.8
1983-01,9.57,42.2,49.4,56.5
1983-02,5.48,45.5,51.9,58.3
1983-03,9.82,46.5,52.5,58.5
1983-04,4.84,44.8,51.9,59.0
1983-05,0.58,48.8,59.8,70.8
1983-06,0.00,52.3,64.5,76.6
1983-07,0.00,54.1,66.1,78.1
1983-08,0.15,58.0,69.7,81.4
1983-09,0.33,59.6,71.1,82.5
1983-10,1.34,54.0,64.4,74.8
1983-11,6.57,48.0,54.0,60.1
1983-12,5.68,46.3,50.7,55.1
1984-01,0.22,42.9,50.6,58.3
1984-02,1.88,41.8,50.5,59.2
1984-03,1.46,46.2,55.9,65.5
1984-04,1.16,44.1,53.7,63.3
1984-05,0.00,50.5,63.4,76.4
1984-06,0.00,51.9,65.0,78.1
1984-07,0.00,58.0,72.1,86.1
1984-08,0.00,56.4,69.7,83.0
1984-09,0.00,59.4,72.7,86.1
1984-10,1.82,50.4,59.5,68.6
1984-11,4.93,46.1,52.3,58.5
1984-12,1.81,40.5,46.6,52.8
1985-01,0.86,39.3,46.6,53.9
1985-02,1.56,41.3,51.1,60.9
1985-03,4.08,41.3,49.3,57.4
1985-04,0.44,49.2,59.2,69.1
1985-05,0.14,47.4,58.1,68.8
1985-06,0.06,56.3,68.8,81.4
1985-07,0.02,57.9,71.2,84.4
1985-08,0.00,54.9,67.0,79.0
1985-09,0.40,54.3,63.8,73.4
1985-10,1.02,51.3,61.4,71.6
1985-11,3.73,45.2,51.5,57.9
1985-12,2.09,39.7,46.9,54.1
1986-01,1.93,46.6,53.5,60.3
1986-02,10.52,46.7,53.3,59.9
1986-03,5.69,48.5,56.9,65.4
1986-04,0.73,46.3,55.1,64.0
1986-05,0.24,47.9,59.6,71.3
1986-06,0.00,54.6,65.8,77.0
1986-07,0.00,54.7,67.2,79.7
1986-08,0.00,56.9,69.5,82.0
1986-09,1.06,52.7,62.5,72.4
1986-10,0.00,52.8,63.6,74.4
1986-11,0.12,46.4,56.6,66.8
1986-12,0.95,41.0,48.6,56.2
1987-01,2.22,39.4,47.0,54.5
1987-02,3.28,42.7,51.2,59.8
1987-03,2.42,44.2,52.6,61.1
1987-04,0.17,48.7,60.1,71.5
1987-05,0.17,52.3,62.5,72.7
1987-06,0.00,53.9,65.9,78.0
1987-07,0.00,53.9,64.3,74.7
1987-08,0.00,56.1,68.0,79.9
1987-09,0.00,57.1,68.4,79.6
1987-10,0.83,56.4,65.7,75.0
1987-11,1.00,48.7,55.2,61.7
1987-12,4.13,42.0,47.5,53.0
1988-01,2.44,42.2,48.9,55.7
1988-02,0.42,43.2,53.6,63.9
1988-03,0.26,43.9,54.9,65.9
1988-04,2.05,47.9,56.6,65.4
1988-05,0.75,47.9,58.2,68.6
1988-06,0.12,52.8,65.3,77.8
1988-07,0.00,57.9,72.6,87.3
1988-08,0.00,57.5,70.0,82.4
1988-09,0.00,55.8,69.5,83.2
1988-10,0.06,54.8,66.3,77.7
1988-11,2.06,49.1,55.1,61.1
1988-12,3.00,41.3,48.9,56.6
1989-01,1.63,39.0,47.4,55.8
1989-02,1.15,39.4,47.5,55.5
1989-03,3.50,46.5,54.0,61.6
1989-04,0.43,50.0,60.7,71.3
1989-05,0.09,49.2,60.7,72.1
1989-06,0.00,53.3,65.7,78.1
1989-07,0.00,54.1,68.1,82.1
1989-08,0.00,55.4,67.3,79.1
1989-09,1.34,55.0,66.1,77.3
1989-10,1.83,51.9,61.7,71.5
1989-11,1.32,47.9,57.2,66.5
1989-12,0.00,42.5,51.3,60.2
1990-01,2.82,41.2,49.0,56.7
