PRISM Time Series Data
Location:  Lat: 38.7786   Lon: -120.5248   Elev: 3980ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,10.11,37.7,46.7,55.7
1981-02,3.68,33.8,44.4,55.1
1981-03,7.82,34.0,43.9,53.8
1981-04,1.85,38.8,51.8,64.9
1981-05,2.47,44.4,57.6,70.8
1981-06,0.00,55.8,70.2,84.6
1981-07,0.00,56.1,73.3,90.4
1981-08,0.00,58.7,75.2,91.7
1981-09,0.65,51.5,67.9,84.3
1981-10,6.25,41.9,53.5,65.1
1981-11,15.02,39.5,48.1,56.7
1981-12,13.61,36.8,44.4,52.0
1982-01,18.63,29.6,37.9,46.1
1982-02,9.14,33.3,43.2,53.2
1982-03,13.82,32.0,40.7,49.3
1982-04,9.85,35.0,45.9,56.8
1982-05,0.28,43.5,58.0,72.4
1982-06,0.72,47.8,61.8,75.8
1982-07,0.01,55.0,69.5,84.0
1982-08,0.03,56.6,71.9,87.2
1982-09,5.36,49.3,62.8,76.4
1982-10,7.50,43.4,54.9,66.3
1982-11,11.02,34.4,43.1,51.7
1982-12,11.12,31.4,39.9,48.4
1983-01,11.30,34.9,43.7,52.4
1983-02,12.92,33.6,41.8,50.0
1983-03,16.64,34.5,42.4,50.2
1983-04,7.26,33.8,43.8,53.8
1983-05,1.22,44.4,56.9,69.3
1983-06,0.34,49.6,63.4,77.3
1983-07,0.18,53.2,67.2,81.2
1983-08,0.45,58.0,71.2,84.5
1983-09,1.34,55.4,68.3,81.2
1983-10,2.08,48.0,59.6,71.2
1983-11,21.15,36.9,43.6,50.3
1983-12,16.08,35.5,41.0,46.5
1984-01,0.52,34.8,45.4,56.0
1984-02,7.50,32.5,42.8,53.1
1984-03,4.47,36.8,48.6,60.4
1984-04,3.95,35.4,47.1,58.9
1984-05,1.56,47.1,60.7,74.2
1984-06,1.25,51.2,64.5,77.8
1984-07,0.08,61.3,75.7,90.1
1984-08,0.10,58.7,73.5,88.3
1984-09,0.12,56.5,70.6,84.7
1984-10,4.39,41.4,52.5,63.6
1984-11,12.87,35.1,43.2,51.3
1984-12,2.37,29.2,38.4,47.6
1985-01,1.88,30.6,41.3,52.0
1985-02,4.54,32.0,43.5,54.9
1985-03,7.67,31.0,41.7,52.3
1985-04,0.67,42.6,55.3,68.0
1985-05,0.10,43.9,57.6,71.3
1985-06,0.65,57.3,70.9,84.5
1985-07,0.00,62.3,76.0,89.8
1985-08,0.24,57.1,71.6,86.2
1985-09,1.73,49.5,61.2,72.9
1985-10,2.25,45.6,57.5,69.4
1985-11,9.34,34.7,43.7,52.6
1985-12,5.61,34.4,43.7,53.0
1986-01,8.24,40.0,48.8,57.6
1986-02,25.64,37.3,45.1,52.9
1986-03,9.76,40.2,50.8,61.3
1986-04,1.77,38.2,50.3,62.5
1986-05,1.95,45.3,58.1,71.0
1986-06,0.00,54.2,68.2,82.3
1986-07,0.00,55.8,70.0,84.2
1986-08,0.00,59.4,75.2,91.0
1986-09,4.01,48.3,60.0,71.8
1986-10,0.20,45.8,58.1,70.4
1986-11,0.90,40.3,51.8,63.3
1986-12,1.61,35.0,44.7,54.5
1987-01,5.81,31.1,40.1,49.2
1987-02,6.21,33.4,43.2,53.0
1987-03,6.78,35.3,45.6,55.9
1987-04,0.65,43.4,57.2,70.9
1987-05,1.94,48.1,60.2,72.3
1987-06,0.16,54.6,68.7,82.8
1987-07,0.00,54.3,68.7,83.1
1987-08,0.00,58.9,74.5,90.0
1987-09,0.00,55.8,70.6,85.4
1987-10,1.91,52.4,64.6,76.8
1987-11,2.77,37.7,47.6,57.4
1987-12,7.29,30.7,37.6,44.5
1988-01,6.98,33.1,41.6,50.1
1988-02,0.52,36.0,48.1,60.2
1988-03,1.78,36.9,49.1,61.3
1988-04,3.95,41.2,52.1,63.1
1988-05,2.33,42.4,55.5,68.7
1988-06,0.61,51.7,65.3,78.8
1988-07,0.03,62.9,77.2,91.5
1988-08,0.00,60.5,75.2,89.8
1988-09,0.31,56.1,70.4,84.7
