PRISM Time Series Data
Location:  Lat: 36.6057   Lon: -121.0750   Elev: 3031ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,5.90,39.4,49.3,59.3
1981-02,1.14,37.5,48.2,58.8
1981-03,4.13,38.4,46.9,55.3
1981-04,0.85,40.1,53.9,67.7
1981-05,0.04,45.1,60.0,74.8
1981-06,0.00,57.6,72.9,88.3
1981-07,0.00,59.6,75.2,90.9
1981-08,0.00,60.1,74.7,89.4
1981-09,0.00,56.8,70.7,84.6
1981-10,2.22,46.4,58.4,70.4
1981-11,3.91,44.2,52.7,61.3
1981-12,1.41,39.1,48.3,57.5
1982-01,5.99,31.9,41.9,51.8
1982-02,1.34,36.5,46.9,57.3
1982-03,4.88,37.4,44.9,52.4
1982-04,4.27,38.4,50.5,62.5
1982-05,0.00,44.7,59.5,74.4
1982-06,0.75,50.6,63.3,76.0
1982-07,0.00,58.5,72.1,85.8
1982-08,0.00,59.2,72.9,86.7
1982-09,1.02,54.8,66.5,78.2
1982-10,1.59,49.0,60.3,71.7
1982-11,4.48,40.0,48.7,57.4
1982-12,3.68,36.2,44.9,53.5
1983-01,7.44,37.5,47.0,56.6
1983-02,4.93,37.7,45.9,54.2
1983-03,9.49,39.3,46.1,52.8
1983-04,4.56,37.4,47.6,57.8
1983-05,0.17,45.4,59.3,73.1
1983-06,0.03,51.7,65.3,78.9
1983-07,0.00,55.5,69.3,83.1
1983-08,0.46,60.5,73.2,85.8
1983-09,2.64,58.8,71.4,84.0
1983-10,1.56,48.4,60.9,73.4
1983-11,4.21,42.1,49.7,57.3
1983-12,4.39,38.9,45.7,52.6
1984-01,0.23,38.0,48.4,58.8
1984-02,1.26,34.1,45.7,57.3
1984-03,0.94,38.7,50.8,63.0
1984-04,0.63,36.9,51.0,65.0
1984-05,0.00,47.7,63.9,80.1
1984-06,0.02,51.8,66.5,81.2
1984-07,0.00,62.8,77.5,92.1
1984-08,0.00,61.0,74.8,88.5
1984-09,0.20,60.6,74.5,88.4
1984-10,1.50,45.6,57.0,68.5
1984-11,4.13,39.5,48.0,56.5
1984-12,3.06,35.3,42.8,50.2
1985-01,0.50,33.1,43.8,54.5
1985-02,1.17,34.7,46.6,58.5
1985-03,3.55,34.9,43.9,53.0
1985-04,0.24,43.1,57.4,71.6
1985-05,0.00,43.0,58.1,73.1
1985-06,0.05,56.3,71.2,86.2
1985-07,0.03,65.0,78.1,91.1
1985-08,0.00,58.7,72.2,85.7
1985-09,0.16,53.5,64.8,76.2
1985-10,1.10,48.8,60.5,72.2
1985-11,3.70,40.9,49.3,57.7
1985-12,1.10,34.5,46.3,58.1
1986-01,1.64,41.8,51.4,60.9
1986-02,7.38,39.6,48.1,56.5
1986-03,5.85,42.5,52.5,62.5
1986-04,2.29,39.6,52.5,65.5
1986-05,0.77,44.3,60.0,75.8
1986-06,0.00,53.9,68.6,83.3
1986-07,0.00,59.1,72.1,85.1
1986-08,0.00,60.9,75.1,89.3
1986-09,1.05,51.3,62.9,74.5
1986-10,0.02,49.3,61.4,73.5
1986-11,0.12,42.5,54.5,66.6
1986-12,0.78,37.2,47.7,58.3
1987-01,2.75,33.2,43.1,53.0
1987-02,3.39,35.9,45.8,55.7
1987-03,2.91,38.0,47.4,56.8
1987-04,0.41,42.7,58.4,74.1
1987-05,0.28,48.9,62.1,75.2
1987-06,0.00,53.0,68.0,82.9
1987-07,0.00,58.2,69.8,81.5
1987-08,0.00,60.1,72.9,85.8
1987-09,0.00,58.0,70.9,83.8
1987-10,1.53,55.4,66.1,76.9
1987-11,0.94,42.4,50.6,58.7
1987-12,3.58,35.6,43.2,50.8
1988-01,2.14,36.9,45.4,53.9
1988-02,1.42,36.5,49.6,62.7
1988-03,0.27,38.8,51.2,63.7
1988-04,1.22,40.8,54.2,67.5
1988-05,0.55,42.8,57.3,71.8
1988-06,0.29,49.4,64.0,78.5
1988-07,0.00,63.5,78.0,92.6
1988-08,0.00,60.7,73.3,86.0
1988-09,0.00,57.3,70.6,83.9
1988-10,0.00,51.2,64.2,77.2
1988-11,1.50,39.8,48.9,58.1
1988-12,3.38,34.4,42.8,51.2
1989-01,1.03,34.1,45.3,56.5
1989-02,1.34,36.4,45.6,54.8
1989-03,1.84,43.4,52.7,62.0
1989-04,0.55,44.9,59.4,73.8
1989-05,0.14,47.2,60.8,74.4
1989-06,0.00,55.5,68.6,81.6
1989-07,0.00,60.3,75.2,90.0
1989-08,0.02,57.6,70.7,83.8
1989-09,1.63,55.4,68.2,81.1
1989-10,2.43,50.1,60.6,71.1
1989-11,0.82,42.6,55.1,67.6
1989-12,0.04,35.8,48.9,62.1
1990-01,2.91,33.7,43.2,52.6
1990-02,2.74,33.8,43.5,53.3
1990-03,1.13,41.6,51.0,60.4
1990-04,0.38,44.3,57.6,70.8
1990-05,1.38,45.4,58.8,72.1
1990-06,0.00,52.6,66.7,80.8
1990-07,0.00,62.0,75.8,89.7
1990-08,0.00,60.6,73.3,86.0
1990-09,0.47,55.4,68.0,80.6
1990-10,0.02,53.8,65.4,77.1
1990-11,0.27,41.5,52.6,63.8
1990-12,1.56,29.8,41.6,53.5
1991-01,0.47,35.6,46.6,57.5
1991-02,2.72,38.9,52.1,65.4
1991-03,9.83,36.5,43.0,49.5
1991-04,0.26,38.1,51.0,63.9
1991-05,0.43,41.7,55.7,69.7
1991-06,0.03,50.0,64.0,78.1
1991-07,0.00,61.5,75.2,89.0
1991-08,0.05,58.9,71.8,84.7
1991-09,0.09,58.7,73.2,87.6
1991-10,0.94,54.5,67.2,79.9
1991-11,0.23,43.8,54.5,65.2
1991-12,4.08,36.7,47.2,57.6
1992-01,2.51,35.9,46.2,56.4
1992-02,7.60,40.3,48.5,56.7
1992-03,3.50,41.3,49.2,57.1
1992-04,0.02,43.8,57.6,71.4
1992-05,0.00,49.6,64.9,80.2
1992-06,0.05,53.6,66.9,80.1
1992-07,0.15,58.4,72.2,85.9
1992-08,0.00,63.1,76.7,90.4
1992-09,0.00,56.0,70.5,85.0
1992-10,1.46,53.3,64.8,76.4
1992-11,0.03,41.7,52.8,64.0
1992-12,4.83,34.3,42.5,50.7
1993-01,9.76,36.1,43.2,50.4
1993-02,6.35,36.7,43.7,50.8
1993-03,2.95,42.0,51.7,61.4
1993-04,0.26,39.3,52.4,65.4
1993-05,0.44,44.9,59.2,73.6
1993-06,0.32,52.8,66.7,80.6
1993-07,0.00,56.5,70.7,84.9
1993-08,0.00,59.6,73.0,86.3
1993-09,0.01,57.0,70.2,83.3
1993-10,0.18,49.8,62.7,75.6
1993-11,1.19,41.4,51.8,62.3
1993-12,1.61,35.7,45.7,55.8
1994-01,2.75,34.8,47.2,59.5
1994-02,5.74,35.1,43.7,52.4
1994-03,0.76,40.9,51.4,62.0
1994-04,1.51,39.5,53.2,67.0
1994-05,1.38,43.3,57.3,71.3
1994-06,0.00,52.0,67.8,83.6
1994-07,0.00,60.1,74.2,88.3
1994-08,0.00,59.7,74.5,89.4
1994-09,0.25,55.4,68.6,81.8
1994-10,0.67,48.1,60.3,72.4
1994-11,2.09,35.7,44.7,53.6
1994-12,1.26,36.1,44.6,53.0
1995-01,12.54,41.1,45.0,49.0
1995-02,0.96,42.2,52.4,62.5
1995-03,9.09,39.7,46.9,54.1
1995-04,1.39,40.6,51.7,62.8
1995-05,0.98,45.3,55.9,66.6
1995-06,0.44,51.9,64.6,77.3
1995-07,0.24,58.8,73.1,87.3
1995-08,0.00,59.8,74.6,89.4
1995-09,0.00,58.7,71.4,84.2
1995-10,0.00,52.7,65.4,78.0
1995-11,0.10,48.4,59.0,69.7
1995-12,2.90,40.5,48.3,56.1
1996-01,5.43,39.5,48.0,56.5
1996-02,6.12,42.2,49.2,56.2
1996-03,2.14,40.8,50.1,59.4
1996-04,1.13,43.3,55.7,68.2
1996-05,1.12,48.5,61.8,75.1
1996-06,0.04,54.2,68.4,82.6
1996-07,0.00,65.7,79.0,92.3
1996-08,0.00,65.4,78.1,90.8
1996-09,0.00,54.6,69.0,83.4
1996-10,3.31,50.7,62.2,73.7
1996-11,2.43,43.8,52.3,60.7
1996-12,6.48,40.2,48.0,55.8
1997-01,8.11,40.6,47.5,54.3
1997-02,0.18,37.3,47.1,56.9
1997-03,0.16,41.6,53.7,65.8
1997-04,0.28,40.9,54.8,68.7
1997-05,0.08,48.9,65.1,81.4
1997-06,0.07,53.0,66.2,79.4
1997-07,0.00,59.8,73.2,86.6
1997-08,0.04,60.6,73.8,87.0
1997-09,0.00,58.8,71.5,84.3
1997-10,0.22,49.5,61.5,73.6
1997-11,4.47,45.3,53.9,62.4
1997-12,4.12,36.5,44.6,52.6
1998-01,6.45,39.3,46.8,54.2
1998-02,13.85,37.9,43.2,48.5
1998-03,2.36,40.3,48.6,56.9
1998-04,3.43,40.1,50.0,60.0
1998-05,4.23,42.3,51.6,60.9
1998-06,0.32,50.1,61.6,73.2
1998-07,0.00,61.6,75.0,88.3
1998-08,0.00,64.1,77.7,91.2
1998-09,0.15,56.6,68.7,80.9
1998-10,0.36,47.6,59.3,70.9
1998-11,1.93,40.3,49.7,59.1
1998-12,1.45,34.6,44.7,54.8
1999-01,1.91,38.8,48.6,58.3
1999-02,3.44,35.4,44.3,53.2
1999-03,2.78,35.6,44.6,53.7
1999-04,1.87,38.9,49.8,60.7
1999-05,0.15,44.3,58.0,71.6
1999-06,0.11,52.4,66.1,79.8
1999-07,0.00,59.3,73.0,86.6
1999-08,0.00,58.2,71.2,84.2
1999-09,0.06,58.9,71.8,84.7
1999-10,0.04,54.6,67.7,80.8
1999-11,1.25,44.4,55.2,65.9
1999-12,0.19,37.4,48.9,60.4
2000-01,5.36,39.4,47.2,55.0
2000-02,7.54,39.2,46.2,53.2
2000-03,1.92,38.7,48.6,58.4
2000-04,1.04,43.2,56.0,68.7
2000-05,0.36,48.9,62.2,75.6
2000-06,0.53,57.0,71.0,85.0
2000-07,0.00,58.2,71.4,84.7
2000-08,0.06,62.2,75.4,88.6
2000-09,0.05,55.4,68.6,81.9
2000-10,2.80,48.9,59.4,69.9
2000-11,0.19,37.6,48.3,59.0
2000-12,0.34,40.5,50.6,60.6
2001-01,7.16,35.5,44.7,53.9
2001-02,4.34,35.8,43.4,51.0
2001-03,2.70,42.0,51.4,60.9
2001-04,1.97,38.4,50.3,62.2
2001-05,0.00,53.7,68.7,83.7
2001-06,0.00,57.9,72.3,86.7
2001-07,0.00,60.5,73.4,86.3
2001-08,0.00,62.2,75.5,88.8
2001-09,0.11,58.5,71.3,84.2
2001-10,0.15,54.9,66.7,78.4
2001-11,2.85,45.5,54.2,62.9
2001-12,4.24,38.0,44.8,51.7
2002-01,1.27,35.9,44.7,53.4
2002-02,1.28,39.0,50.0,61.0
2002-03,1.51,37.5,47.9,58.4
2002-04,0.34,42.9,54.8,66.8
2002-05,0.33,46.1,60.0,73.8
2002-06,0.00,55.4,69.6,83.9
2002-07,0.00,63.2,76.9,90.7
2002-08,0.00,60.9,74.4,87.9
2002-09,0.00,59.7,72.9,86.2
2002-10,0.00,48.0,60.4,72.9
2002-11,2.94,45.3,55.4,65.4
2002-12,7.80,40.0,46.3,52.6
2003-01,1.06,44.7,54.1,63.4
2003-02,1.91,37.9,46.9,56.0
2003-03,1.23,39.8,50.2,60.6
2003-04,2.78,37.4,48.3,59.2
2003-05,1.61,47.3,60.1,73.0
2003-06,0.00,55.2,69.4,83.6
2003-07,0.00,65.7,79.9,94.1
2003-08,0.19,60.6,73.8,87.1
2003-09,0.00,61.6,74.5,87.5
2003-10,0.00,54.6,68.3,82.0
2003-11,0.74,38.8,48.3,57.8
2003-12,4.94,38.9,46.0,53.1
2004-01,1.54,37.8,46.5,55.2
2004-02,5.58,36.8,44.2,51.6
2004-03,0.45,45.0,57.1,69.3
2004-04,0.01,43.4,57.1,70.9
2004-05,0.03,45.8,60.8,75.9
2004-06,0.00,54.8,69.0,83.2
2004-07,0.00,62.0,75.5,88.9
2004-08,0.00,60.9,74.2,87.5
2004-09,0.00,57.4,71.2,85.0
2004-10,4.05,49.5,59.5,69.5
2004-11,0.64,40.5,49.2,57.8
2004-12,5.85,39.6,48.4,57.3
2005-01,5.16,40.1,47.4,54.7
2005-02,4.07,41.1,48.1,55.0
2005-03,3.15,41.8,50.8,59.7
2005-04,2.01,39.3,51.1,62.9
2005-05,0.58,48.4,60.6,72.8
2005-06,0.12,50.2,64.0,77.8
2005-07,0.00,65.6,79.4,93.3
2005-08,0.00,64.3,77.5,90.8
2005-09,0.00,53.5,67.0,80.4
2005-10,0.09,48.9,61.5,74.1
2005-11,0.61,44.7,56.3,67.8
2005-12,3.27,42.1,50.1,58.1
2006-01,4.72,36.3,46.0,55.8
2006-02,1.79,37.6,49.4,61.3
2006-03,5.15,33.9,41.6,49.4
2006-04,3.94,41.1,49.8,58.5
2006-05,1.87,49.0,62.2,75.5
2006-06,0.00,57.9,71.2,84.4
2006-07,0.04,67.0,80.2,93.4
2006-08,0.00,59.2,72.4,85.6
2006-09,0.00,57.9,70.9,83.9
2006-10,0.52,49.4,60.2,71.0
2006-11,0.94,43.4,52.8,62.1
2006-12,3.24,38.4,47.2,55.9
2007-01,0.83,33.1,43.3,53.5
2007-02,2.76,38.4,46.3,54.2
2007-03,0.50,42.1,53.5,64.9
2007-04,1.22,42.6,55.0,67.4
2007-05,0.13,44.9,60.8,76.8
2007-06,0.00,55.7,69.7,83.6
2007-07,0.00,61.8,75.1,88.3
2007-08,0.00,62.2,75.3,88.4
2007-09,0.94,54.2,66.2,78.2
2007-10,1.24,48.4,59.4,70.4
2007-11,0.19,45.9,56.4,67.0
2007-12,1.28,34.0,42.1,50.3
2008-01,9.15,36.5,43.2,50.0
2008-02,2.88,37.5,46.1,54.6
2008-03,0.29,38.3,49.3,60.3
2008-04,0.13,38.1,52.4,66.6
2008-05,0.32,46.6,60.1,73.6
2008-06,0.00,56.6,70.5,84.3
2008-07,0.00,63.7,76.7,89.6
2008-08,0.00,64.4,77.3,90.2
2008-09,0.00,60.3,73.0,85.6
2008-10,0.38,54.4,65.2,76.1
2008-11,1.35,46.4,55.3,64.3
2008-12,1.71,37.5,45.0,52.6
2009-01,2.18,40.9,50.3,59.8
2009-02,4.22,37.9,45.3,52.7
2009-03,1.65,38.6,47.8,56.9
2009-04,0.24,40.4,53.1,65.8
2009-05,0.24,52.7,65.9,79.0
2009-06,0.12,52.4,65.6,78.9
2009-07,0.00,65.6,78.1,90.6
2009-08,0.00,61.8,75.1,88.4
2009-09,0.27,62.0,75.2,88.3
2009-10,2.67,48.0,58.7,69.5
2009-11,0.13,42.2,52.6,63.0
2009-12,2.60,37.7,45.0,52.3
2010-01,6.80,41.2,47.8,54.3
2010-02,3.51,39.9,46.4,53.0
2010-03,1.25,38.9,48.5,58.2
2010-04,4.00,39.1,49.3,59.5
2010-05,0.44,42.8,55.3,67.7
2010-06,0.00,54.2,67.6,81.1
2010-07,0.00,62.6,75.1,87.7
2010-08,0.00,60.4,73.1,85.9
2010-09,0.00,57.9,71.2,84.5
2010-10,1.39,52.0,61.6,71.2
2010-11,1.85,40.7,49.7,58.6
2010-12,5.13,40.7,47.2,53.7
2011-01,2.41,40.5,49.6,58.6
2011-02,3.80,35.1,43.7,52.3
2011-03,3.63,37.7,45.7,53.7
2011-04,0.19,41.0,52.1,63.2
2011-05,1.15,42.8,55.4,68.0
2011-06,0.67,52.3,64.7,77.1
2011-07,0.00,60.5,74.0,87.4
2011-08,0.00,62.7,75.3,87.8
2011-09,0.00,62.1,74.8,87.5
2011-10,1.32,52.8,63.5,74.3
2011-11,1.35,41.6,50.0,58.4
2011-12,0.14,37.6,46.8,56.0
2012-01,1.87,40.4,50.6,60.8
2012-02,0.98,37.9,47.2,56.6
2012-03,2.64,38.4,48.6,58.9
2012-04,2.66,42.5,53.7,64.9
2012-05,0.04,47.9,62.2,76.4
2012-06,0.06,54.1,68.4,82.7
2012-07,0.00,60.1,73.7,87.3
2012-08,0.00,67.2,79.6,92.0
2012-09,0.00,62.5,74.3,86.0
2012-10,0.48,53.2,64.1,75.1
2012-11,1.58,45.8,54.7,63.6
2012-12,6.20,37.8,43.9,50.1
2013-01,1.02,36.6,45.3,54.1
2013-02,0.40,37.0,46.4,55.8
2013-03,0.39,42.8,53.4,64.1
2013-04,0.25,45.4,58.0,70.7
2013-05,0.04,49.9,62.6,75.3
2013-06,0.00,57.4,71.1,84.7
2013-07,0.00,64.8,77.9,90.9
2013-08,0.00,61.1,73.9,86.6
2013-09,0.07,57.0,69.6,82.1
2013-10,0.49,51.2,62.3,73.4
2013-11,0.30,45.5,55.0,64.5
2013-12,0.23,39.4,49.9,60.5
2014-01,0.11,46.5,57.1,67.7
2014-02,2.89,41.8,50.4,59.0
2014-03,1.82,43.8,53.7,63.6
2014-04,1.63,45.4,57.4,69.4
2014-05,0.00,51.2,64.4,77.5
2014-06,0.00,54.2,69.1,83.9
2014-07,0.00,65.3,77.8,90.4
2014-08,0.00,62.1,74.8,87.5
2014-09,0.01,60.7,72.9,85.1
2014-10,0.11,56.1,67.4,78.7
2014-11,1.52,47.6,56.0,64.4
2014-12,5.40,43.1,48.3,53.5
2015-01,0.07,43.9,53.1,62.3
2015-02,1.44,45.4,54.9,64.4
2015-03,0.29,46.7,57.5,68.3
2015-04,1.27,43.5,55.7,67.9
2015-05,0.62,46.7,58.8,70.8
2015-06,0.36,59.8,72.7,85.6
2015-07,0.03,61.2,73.9,86.6
2015-08,0.02,63.1,75.6,88.0
2015-09,0.00,60.6,72.7,84.8
2015-10,0.28,56.2,66.7,77.1
2015-11,2.55,40.8,49.5,58.1
2015-12,3.49,36.5,43.7,51.0
2016-01,4.66,40.7,46.5,52.2
2016-02,1.07,44.1,53.8,63.6
2016-03,3.95,42.7,51.1,59.5
2016-04,0.80,45.1,56.3,67.4
2016-05,0.29,49.0,61.1,73.2
2016-06,0.00,60.4,73.6,86.7
2016-07,0.00,64.2,76.9,89.5
2016-08,0.00,61.2,74.4,87.5
