PRISM Time Series Data
Location:  Lat: 38.2700   Lon: -121.9326   Elev: 39ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,5.09,39.4,47.2,54.9
1981-02,1.00,40.0,51.8,63.6
1981-03,3.59,42.0,53.1,64.3
1981-04,0.40,46.0,60.5,75.0
1981-05,0.08,50.3,66.2,82.1
1981-06,0.00,57.6,76.0,94.3
1981-07,0.00,52.5,71.4,90.3
1981-08,0.00,55.0,73.0,90.9
1981-09,0.21,54.6,71.2,87.8
1981-10,1.56,47.6,61.5,75.5
1981-11,6.08,47.5,56.9,66.4
1981-12,5.18,42.0,49.5,56.9
1982-01,7.95,34.1,42.7,51.3
1982-02,3.53,40.7,51.6,62.5
1982-03,6.31,42.0,52.0,62.0
1982-04,5.23,44.9,56.6,68.2
1982-05,0.00,49.7,65.5,81.4
1982-06,0.02,52.1,66.5,81.0
1982-07,0.00,54.2,69.9,85.6
1982-08,0.00,55.9,73.2,90.5
1982-09,1.16,55.4,70.4,85.3
1982-10,2.77,49.8,63.3,76.9
1982-11,5.24,40.8,49.4,58.0
1982-12,2.63,38.5,46.9,55.3
1983-01,6.11,37.4,43.8,50.3
1983-02,8.25,43.9,51.9,60.0
1983-03,10.44,45.9,54.0,62.2
1983-04,3.05,44.9,55.9,66.9
1983-05,0.64,49.9,64.1,78.3
1983-06,0.00,54.5,70.9,87.2
1983-07,0.00,55.6,70.8,86.0
1983-08,0.04,58.4,73.7,89.0
1983-09,0.61,57.1,73.5,89.9
1983-10,0.41,51.0,65.9,80.8
1983-11,6.73,44.3,53.4,62.4
1983-12,7.28,42.4,49.4,56.3
1984-01,0.32,36.8,46.3,55.9
1984-02,1.48,38.7,49.9,61.1
1984-03,1.23,45.5,58.2,70.9
1984-04,0.69,44.6,58.2,71.8
1984-05,0.00,52.1,68.4,84.8
1984-06,0.06,53.9,69.5,85.1
1984-07,0.00,58.7,75.4,92.2
1984-08,0.16,55.7,74.2,92.6
1984-09,0.24,56.0,75.0,93.9
1984-10,1.75,47.8,61.1,74.4
1984-11,6.62,41.2,51.2,61.3
1984-12,1.27,34.9,44.3,53.7
1985-01,0.75,32.2,40.9,49.7
1985-02,2.06,37.3,51.0,64.7
1985-03,3.81,38.3,50.7,63.0
1985-04,0.10,46.2,61.9,77.7
1985-05,0.05,46.8,61.7,76.6
1985-06,0.03,54.8,71.4,88.0
1985-07,0.00,56.6,75.5,94.4
1985-08,0.00,51.6,70.3,89.0
1985-09,0.36,51.8,67.5,83.3
1985-10,0.66,46.8,62.3,77.8
1985-11,4.26,37.5,49.2,61.0
1985-12,2.93,32.1,40.9,49.7
1986-01,4.37,40.2,49.0,57.9
1986-02,11.92,43.1,53.2,63.2
1986-03,5.38,45.1,57.1,69.1
1986-04,0.92,43.1,58.1,73.0
1986-05,0.15,47.5,62.6,77.8
1986-06,0.00,52.6,70.2,87.7
1986-07,0.00,53.5,72.1,90.6
1986-08,0.00,51.8,71.8,91.7
1986-09,0.89,49.2,65.1,81.0
1986-10,0.09,50.8,64.5,78.2
1986-11,0.06,43.7,57.3,70.8
1986-12,1.14,37.2,46.2,55.1
1987-01,2.53,36.6,45.2,53.8
1987-02,3.95,41.2,51.5,61.7
1987-03,3.14,42.9,53.5,64.0
1987-04,0.20,47.6,62.0,76.3
1987-05,0.06,52.7,66.2,79.6
1987-06,0.00,54.5,69.4,84.3
1987-07,0.00,53.6,68.0,82.3
1987-08,0.00,55.2,71.1,87.0
1987-09,0.00,53.9,69.8,85.6
1987-10,0.92,53.0,66.4,79.8
1987-11,2.21,43.7,53.5,63.4
1987-12,5.11,39.9,46.9,54.0
1988-01,5.06,38.5,46.9,55.3
1988-02,0.48,39.1,53.0,66.8
1988-03,0.25,43.1,56.8,70.6
1988-04,1.37,47.4,59.1,70.8
1988-05,0.73,49.3,62.2,75.2
1988-06,0.45,55.1,69.1,83.2
1988-07,0.00,59.1,75.6,92.2
1988-08,0.00,56.8,72.3,87.7
1988-09,0.00,54.2,70.3,86.5
1988-10,0.08,51.4,64.7,78.0
1988-11,2.51,45.5,53.9,62.3
1988-12,3.16,37.4,47.0,56.7
1989-01,0.84,34.8,44.8,54.9
1989-02,1.15,36.6,46.9,57.2
1989-03,4.94,45.6,54.4,63.2
1989-04,0.38,48.8,61.4,73.9
1989-05,0.03,50.2,63.5,76.7
1989-06,0.17,55.4,68.6,81.9
1989-07,0.00,55.5,72.5,89.4
1989-08,0.03,54.9,70.3,85.8
1989-09,1.78,53.9,67.9,81.9
1989-10,1.69,49.8,63.1,76.4
1989-11,1.39,41.4,54.9,68.3
1989-12,0.00,33.9,44.5,55.1
1990-01,3.53,36.8,46.6,56.3
1990-02,3.00,36.3,47.4,58.4
1990-03,0.79,43.0,55.2,67.4
1990-04,0.19,49.5,61.6,73.7
1990-05,2.34,51.2,63.4,75.6
1990-06,0.00,54.5,69.4,84.2
1990-07,0.00,58.4,74.4,90.5
1990-08,0.00,58.8,73.5,88.2
1990-09,0.10,56.2,71.4,86.5
1990-10,0.15,50.7,66.0,81.4
1990-11,0.23,41.2,54.1,67.1
1990-12,1.06,30.9,42.3,53.8
1991-01,0.28,36.1,46.9,57.8
1991-02,2.97,42.9,54.8,66.6
1991-03,9.10,41.8,50.4,59.0
1991-04,0.36,45.3,57.1,68.9
1991-05,0.16,48.6,61.4,74.1
1991-06,0.18,52.9,66.9,80.8
1991-07,0.00,57.3,73.1,88.8
1991-08,0.03,55.6,70.1,84.7
1991-09,0.00,56.0,72.5,89.0
1991-10,1.23,53.8,68.4,83.0
1991-11,0.42,44.1,56.4,68.7
1991-12,2.20,37.2,47.0,56.8
1992-01,1.85,36.3,43.7,51.0
1992-02,7.05,44.8,54.1,63.3
1992-03,3.56,46.8,56.5,66.2
1992-04,0.58,49.4,62.0,74.7
1992-05,0.00,54.1,68.8,83.6
1992-06,0.35,56.0,69.4,82.8
1992-07,0.00,58.1,73.1,88.1
1992-08,0.00,58.1,75.0,91.9
1992-09,0.00,55.1,71.1,87.2
1992-10,2.26,53.3,66.9,80.5
1992-11,0.14,44.0,55.5,66.9
1992-12,7.49,37.2,45.1,53.1
1993-01,11.04,36.6,45.0,53.3
1993-02,5.34,40.8,49.6,58.4
1993-03,2.17,47.6,57.8,68.0
1993-04,0.43,47.3,58.9,70.4
1993-05,0.78,52.4,64.3,76.1
1993-06,0.89,57.1,71.5,85.8
1993-07,0.00,57.7,73.0,88.3
1993-08,0.00,57.3,72.7,88.2
1993-09,0.00,54.5,70.9,87.3
1993-10,0.58,53.2,65.7,78.2
1993-11,2.43,41.3,53.5,65.8
1993-12,2.30,36.8,45.3,53.8
