PRISM Time Series Data
Location:  Lat: 37.9192   Lon: -121.9263   Elev: 971ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,5.00,41.9,49.6,57.2
1981-02,1.11,41.3,51.2,61.0
1981-03,3.76,41.7,51.3,60.8
1981-04,0.34,44.2,57.3,70.5
1981-05,0.22,48.8,61.9,75.0
1981-06,0.00,57.0,72.0,87.1
1981-07,0.00,55.0,70.9,86.7
1981-08,0.00,55.4,70.3,85.3
1981-09,0.09,55.6,69.3,82.9
1981-10,2.24,47.6,59.9,72.3
1981-11,4.66,47.5,55.5,63.4
1981-12,3.73,42.1,49.5,57.0
1982-01,7.53,35.8,43.4,51.0
1982-02,3.16,41.6,50.8,60.0
1982-03,5.96,41.0,49.5,57.9
1982-04,4.92,44.0,54.8,65.7
1982-05,0.00,48.2,61.6,74.9
1982-06,0.08,50.5,61.8,73.0
1982-07,0.03,55.0,68.3,81.7
1982-08,0.00,56.4,70.4,84.5
1982-09,1.07,55.6,68.0,80.5
1982-10,1.90,50.3,62.6,75.0
1982-11,5.34,42.0,50.4,58.8
1982-12,3.42,39.2,47.0,54.7
1983-01,6.31,39.6,46.9,54.2
1983-02,5.99,43.3,50.7,58.1
1983-03,8.33,44.3,51.9,59.6
1983-04,3.82,43.6,53.3,63.1
1983-05,0.73,48.4,60.6,72.8
1983-06,0.00,52.4,65.2,78.0
1983-07,0.00,55.2,68.8,82.3
1983-08,0.31,58.0,71.2,84.4
1983-09,0.29,58.5,71.3,84.1
1983-10,0.79,52.6,65.4,78.1
1983-11,6.53,45.0,52.8,60.6
1983-12,5.10,42.4,48.4,54.4
1984-01,0.30,39.5,48.2,57.0
1984-02,2.20,39.9,49.5,59.0
1984-03,1.43,44.7,55.7,66.7
1984-04,0.82,43.3,55.3,67.3
1984-05,0.12,50.2,64.3,78.4
1984-06,0.01,52.1,65.8,79.6
1984-07,0.00,59.1,74.1,89.1
1984-08,0.08,57.0,72.0,87.0
1984-09,0.12,58.7,73.7,88.7
1984-10,2.36,48.7,60.0,71.3
1984-11,5.77,43.2,51.2,59.2
1984-12,1.79,37.0,44.5,52.1
1985-01,0.74,36.4,44.2,52.1
1985-02,1.96,39.9,51.1,62.2
1985-03,3.59,39.2,49.2,59.3
1985-04,0.14,47.0,60.7,74.5
1985-05,0.11,46.9,59.2,71.6
1985-06,0.27,55.8,70.0,84.2
1985-07,0.02,58.2,73.0,87.8
1985-08,0.06,54.6,68.8,83.0
1985-09,0.33,52.5,64.4,76.3
1985-10,0.86,48.4,61.7,75.1
1985-11,3.04,40.4,49.9,59.3
1985-12,2.50,37.1,44.0,50.9
1986-01,3.28,43.5,51.4,59.4
1986-02,9.97,44.5,52.5,60.5
1986-03,4.66,46.1,56.2,66.3
1986-04,0.62,44.6,57.0,69.4
1986-05,0.27,47.6,61.4,75.2
1986-06,0.00,54.3,66.7,79.1
1986-07,0.05,55.2,69.2,83.2
1986-08,0.00,56.0,70.5,85.0
1986-09,1.07,52.0,63.5,75.0
1986-10,0.06,50.1,63.9,77.6
1986-11,0.21,44.8,56.1,67.5
1986-12,1.07,38.1,46.4,54.7
1987-01,2.73,37.1,45.6,54.1
1987-02,4.28,41.2,50.9,60.6
1987-03,2.64,42.1,52.4,62.7
1987-04,0.17,47.4,60.4,73.3
1987-05,0.24,51.2,64.5,77.7
1987-06,0.00,53.5,67.2,81.0
1987-07,0.00,55.0,66.5,78.0
1987-08,0.00,54.9,69.6,84.4
1987-09,0.00,55.4,69.5,83.7
1987-10,0.74,52.4,64.5,76.6
1987-11,1.69,45.7,54.0,62.2
1987-12,3.73,39.0,45.9,52.8
1988-01,3.59,39.5,47.2,54.8
1988-02,0.41,42.2,53.4,64.7
1988-03,0.26,42.3,54.2,66.1
1988-04,1.67,46.1,56.9,67.6
1988-05,0.37,48.0,59.8,71.7
1988-06,0.37,52.6,65.9,79.1
1988-07,0.00,58.7,74.4,90.1
1988-08,0.00,56.2,70.6,85.0
1988-09,0.00,54.2,69.7,85.3
1988-10,0.34,51.1,65.4,79.7
1988-11,2.67,44.2,52.6,61.1
1988-12,2.78,38.5,47.1,55.8
1989-01,1.33,35.4,45.1,54.7
1989-02,1.37,35.3,45.2,55.2
1989-03,4.06,42.4,52.0,61.5
1989-04,0.61,47.2,60.7,74.1
1989-05,0.04,48.8,61.1,73.3
1989-06,0.10,53.1,65.3,77.5
1989-07,0.00,55.0,70.8,86.5
1989-08,0.03,54.9,69.0,83.1
1989-09,1.23,53.2,66.5,79.8
1989-10,2.25,50.2,62.7,75.3
1989-11,1.36,45.4,56.0,66.7
1989-12,0.01,38.0,48.0,58.1
1990-01,3.01,38.4,47.0,55.6
1990-02,3.03,36.7,46.2,55.8
1990-03,0.85,41.7,52.7,63.7
1990-04,0.34,47.4,59.8,72.3
1990-05,2.50,48.9,59.8,70.8
1990-06,0.00,52.5,66.0,79.4
1990-07,0.00,57.9,72.0,86.1
1990-08,0.04,57.5,71.1,84.8
1990-09,0.11,55.9,69.4,82.8
1990-10,0.14,50.4,64.5,78.6
1990-11,0.51,45.0,54.9,64.9
1990-12,1.41,33.1,43.2,53.3
1991-01,0.35,37.0,47.2,57.3
1991-02,2.62,43.3,53.9,64.6
1991-03,8.18,39.4,48.1,56.8
1991-04,0.32,43.6,55.2,66.9
1991-05,0.18,45.9,57.7,69.5
1991-06,0.12,49.7,62.3,74.8
1991-07,0.00,56.4,71.1,85.9
1991-08,0.10,54.6,67.8,81.0
1991-09,0.00,56.5,71.7,86.8
1991-10,2.11,53.2,68.2,83.2
1991-11,0.43,44.6,55.6,66.7
1991-12,1.94,37.8,47.0,56.3
1992-01,1.39,36.7,45.0,53.4
1992-02,6.79,43.9,52.5,61.0
1992-03,2.74,44.8,53.9,63.0
1992-04,0.40,47.4,60.4,73.4
1992-05,0.00,52.8,67.0,81.3
1992-06,0.24,53.2,65.6,77.9
1992-07,0.12,56.4,69.9,83.4
1992-08,0.00,57.7,73.3,88.8
1992-09,0.00,54.8,69.7,84.6
1992-10,1.24,52.7,65.8,78.9
1992-11,0.21,45.7,55.6,65.5
1992-12,6.99,37.5,44.8,52.1
1993-01,9.32,37.7,45.0,52.3
1993-02,5.05,40.9,48.7,56.5
1993-03,2.33,46.1,55.6,65.1
1993-04,0.96,45.8,56.9,67.9
1993-05,0.60,50.1,61.1,72.0
1993-06,0.20,55.3,67.8,80.3
1993-07,0.00,56.2,70.2,84.1
1993-08,0.00,56.0,70.4,84.8
1993-09,0.00,54.8,69.5,84.2
1993-10,0.52,51.9,64.6,77.3
1993-11,2.20,42.4,53.5,64.6
1993-12,2.25,37.1,44.7,52.3
1994-01,1.65,38.4,47.9,57.4
1994-02,4.98,38.2,46.8,55.4
1994-03,0.24,43.6,54.7,65.8
1994-04,1.35,45.2,56.3,67.5
1994-05,1.52,47.9,59.3,70.7
1994-06,0.00,52.5,66.7,80.9
1994-07,0.00,54.8,70.2,85.6
1994-08,0.00,55.6,71.2,86.9
1994-09,0.01,54.2,68.6,83.0
1994-10,0.46,49.0,62.5,76.0
1994-11,6.08,38.9,47.8,56.8
1994-12,2.54,36.1,43.1,50.0
1995-01,10.22,43.0,48.5,54.0
1995-02,0.23,44.0,52.6,61.3
1995-03,8.65,42.6,51.1,59.5
1995-04,1.19,44.1,54.4,64.7
1995-05,1.33,47.0,57.3,67.6
1995-06,0.99,52.4,64.0,75.6
1995-07,0.00,56.6,69.7,82.8
1995-08,0.00,57.3,72.2,87.2
1995-09,0.00,55.3,69.3,83.3
1995-10,0.00,51.4,65.9,80.5
1995-11,0.03,48.3,58.9,69.6
1995-12,6.67,43.1,50.5,57.8
1996-01,6.24,42.3,49.3,56.3
1996-02,6.49,44.4,52.0,59.6
1996-03,2.74,44.7,54.2,63.7
1996-04,1.80,47.9,59.3,70.8
1996-05,1.91,51.2,62.6,74.0
1996-06,0.00,53.6,67.2,80.8
1996-07,0.00,59.2,74.9,90.7
1996-08,0.00,57.6,73.6,89.7
1996-09,0.00,54.7,68.8,82.8
1996-10,0.64,49.9,62.5,75.1
1996-11,3.41,46.2,54.4,62.6
1996-12,7.20,42.9,49.5,56.2
1997-01,9.04,40.7,47.1,53.4
1997-02,0.34,42.5,51.8,61.1
1997-03,0.25,45.1,56.4,67.7
1997-04,0.71,46.4,58.9,71.3
1997-05,0.29,54.4,66.9,79.5
1997-06,0.29,53.9,66.5,79.1
1997-07,0.03,57.0,71.1,85.1
1997-08,0.56,57.8,70.2,82.7
1997-09,0.00,58.2,71.2,84.1
1997-10,0.44,50.5,62.3,74.2
1997-11,5.69,48.1,55.8,63.6
1997-12,2.95,38.8,46.5,54.2
1998-01,7.95,42.1,48.0,53.9
1998-02,12.35,43.4,49.5,55.5
1998-03,2.23,45.6,54.3,63.0
1998-04,1.50,46.4,55.9,65.4
1998-05,1.80,48.3,55.6,62.9
1998-06,0.05,52.3,61.9,71.5
1998-07,0.00,56.6,70.2,83.9
1998-08,0.00,59.8,74.4,89.1
1998-09,0.17,57.4,69.5,81.5
1998-10,0.58,49.2,60.8,72.4
1998-11,2.36,44.0,52.0,60.1
1998-12,1.69,36.3,44.8,53.3
1999-01,3.94,39.5,47.0,54.6
1999-02,5.95,39.3,47.4,55.5
1999-03,2.40,39.8,48.7,57.5
1999-04,1.53,43.5,54.5,65.6
1999-05,0.08,46.0,57.7,69.5
1999-06,0.00,51.5,64.3,77.0
1999-07,0.00,54.9,68.2,81.6
1999-08,0.06,56.9,69.1,81.3
1999-09,0.07,56.6,70.4,84.2
1999-10,0.28,53.9,67.2,80.4
1999-11,1.71,46.6,55.4,64.3
1999-12,0.52,40.0,49.2,58.4
2000-01,7.08,41.6,48.3,55.0
2000-02,7.87,43.0,49.8,56.5
2000-03,1.87,43.0,52.6,62.2
2000-04,0.94,46.5,58.5,70.5
2000-05,1.13,50.4,62.0,73.6
2000-06,0.20,55.2,68.7,82.3
2000-07,0.00,54.3,67.0,79.6
2000-08,0.00,56.3,70.9,85.6
2000-09,0.12,55.9,68.4,80.9
2000-10,2.38,49.5,59.8,70.1
2000-11,0.78,40.4,49.3,58.2
2000-12,0.88,40.9,48.8,56.6
2001-01,2.62,37.4,45.9,54.4
2001-02,5.28,38.7,47.2,55.7
2001-03,1.74,44.7,54.9,65.1
2001-04,1.44,41.5,53.3,65.1
2001-05,0.00,53.9,68.7,83.6
2001-06,0.12,55.5,68.2,80.9
2001-07,0.00,56.1,69.0,81.9
2001-08,0.00,56.4,69.5,82.7
2001-09,0.11,53.6,68.0,82.3
2001-10,0.22,52.9,64.9,76.9
2001-11,2.98,46.0,54.4,62.8
2001-12,7.69,39.1,45.4,51.7
2002-01,1.71,37.6,45.1,52.6
2002-02,1.37,40.9,50.3,59.6
2002-03,2.59,41.2,51.1,61.0
2002-04,0.19,44.7,55.7,66.6
2002-05,0.98,46.9,58.0,69.1
2002-06,0.00,53.2,66.2,79.1
2002-07,0.00,56.5,70.9,85.2
2002-08,0.00,56.2,69.4,82.6
2002-09,0.00,56.7,69.3,81.9
2002-10,0.00,49.7,62.5,75.3
2002-11,2.69,46.2,55.4,64.7
2002-12,9.06,40.9,47.4,53.9
2003-01,1.13,43.7,50.9,58.2
2003-02,1.16,40.8,49.6,58.4
2003-03,1.16,43.5,53.4,63.3
2003-04,2.98,41.8,50.1,58.4
2003-05,0.88,48.9,59.8,70.7
2003-06,0.00,54.2,66.6,78.9
2003-07,0.00,59.2,73.3,87.5
2003-08,0.05,57.3,69.1,80.9
2003-09,0.00,57.6,70.0,82.4
2003-10,0.01,53.2,66.0,78.9
2003-11,1.78,41.6,49.8,57.9
2003-12,5.78,39.9,46.3,52.6
2004-01,2.72,38.6,45.4,52.2
2004-02,5.30,40.4,48.1,55.7
2004-03,0.58,47.5,58.6,69.6
2004-04,0.26,46.9,58.0,69.1
2004-05,0.07,49.2,60.4,71.6
2004-06,0.00,53.5,65.5,77.4
2004-07,0.00,56.7,69.1,81.5
2004-08,0.00,57.4,69.5,81.7
2004-09,0.36,57.7,69.3,80.9
2004-10,2.99,49.3,59.4,69.5
2004-11,1.42,43.3,51.7,60.2
2004-12,4.51,39.8,47.5,55.1
2005-01,4.32,37.9,45.0,52.1
2005-02,4.04,43.4,50.8,58.3
2005-03,4.27,45.3,54.7,64.0
2005-04,1.96,43.3,55.0,66.7
2005-05,1.64,50.1,59.4,68.8
2005-06,0.21,51.8,62.1,72.3
2005-07,0.00,59.5,73.8,88.0
2005-08,0.00,58.4,72.0,85.7
2005-09,0.03,53.1,64.8,76.6
2005-10,0.11,49.8,61.5,73.2
2005-11,1.22,46.2,55.6,64.9
2005-12,8.50,42.3,49.3,56.2
2006-01,5.18,40.4,47.7,55.0
2006-02,2.07,41.3,51.1,60.9
2006-03,6.59,38.5,47.0,55.5
2006-04,4.96,44.4,53.4,62.3
2006-05,0.35,50.5,63.0,75.4
2006-06,0.00,55.7,69.1,82.6
2006-07,0.00,61.0,75.0,89.0
2006-08,0.00,55.6,68.6,81.6
2006-09,0.00,54.5,67.4,80.2
2006-10,0.24,48.9,60.0,71.1
2006-11,1.92,44.1,52.9,61.8
2006-12,2.78,38.4,47.0,55.7
2007-01,0.68,35.8,45.4,55.0
2007-02,4.37,40.6,49.0,57.5
2007-03,0.38,44.1,55.7,67.2
2007-04,1.34,44.3,56.0,67.6
2007-05,0.38,49.3,61.7,74.2
2007-06,0.00,52.7,66.2,79.7
2007-07,0.04,56.2,69.4,82.7
2007-08,0.00,57.1,70.9,84.6
2007-09,0.13,53.9,65.7,77.6
2007-10,1.58,47.9,58.5,69.1
2007-11,0.72,46.1,55.8,65.6
2007-12,3.00,35.9,43.8,51.7
2008-01,7.71,36.5,43.3,50.1
2008-02,2.34,39.7,48.7,57.7
2008-03,0.22,41.1,51.9,62.7
2008-04,0.18,42.9,55.1,67.3
2008-05,0.00,49.5,61.1,72.6
2008-06,0.00,54.9,67.8,80.7
2008-07,0.00,56.6,70.6,84.7
