PRISM Time Series Data
Location:  Lat: 36.2172   Lon: -121.2390   Elev: 1467ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,5.72,39.5,52.5,65.6
1981-02,1.54,38.3,51.8,65.3
1981-03,4.65,39.5,50.8,62.1
1981-04,0.88,39.2,55.1,71.0
1981-05,0.05,43.3,59.7,76.1
1981-06,0.00,49.9,70.1,90.2
1981-07,0.00,49.2,70.2,91.2
1981-08,0.00,49.9,70.0,90.0
1981-09,0.00,49.4,67.8,86.2
1981-10,1.72,41.5,59.4,77.3
1981-11,4.84,43.6,55.3,67.0
1981-12,2.00,38.0,50.4,62.7
1982-01,5.40,31.8,44.6,57.4
1982-02,1.83,36.5,50.2,63.9
1982-03,5.56,38.0,48.6,59.1
1982-04,4.10,38.8,52.5,66.3
1982-05,0.00,42.1,58.4,74.6
1982-06,0.28,46.3,61.8,77.3
1982-07,0.00,49.8,68.8,87.8
1982-08,0.00,50.2,69.9,89.5
1982-09,1.21,49.5,66.7,83.9
1982-10,1.46,44.4,61.5,78.5
1982-11,5.05,38.4,50.8,63.2
1982-12,4.80,35.8,47.5,59.1
1983-01,6.98,36.0,48.9,61.8
1983-02,5.88,39.3,50.1,60.8
1983-03,10.12,41.0,50.4,59.8
1983-04,3.80,38.4,50.3,62.2
1983-05,0.21,43.1,59.0,75.0
1983-06,0.03,46.6,64.0,81.4
1983-07,0.00,47.7,67.8,87.9
1983-08,0.27,52.3,71.5,90.7
1983-09,0.93,52.5,70.7,88.8
1983-10,1.04,45.3,62.4,79.5
1983-11,4.83,42.0,53.1,64.2
1983-12,5.35,39.7,49.5,59.4
1984-01,0.26,35.7,49.5,63.3
1984-02,1.60,33.9,49.0,64.2
1984-03,1.06,37.2,53.3,69.4
1984-04,0.53,36.8,52.2,67.7
1984-05,0.00,43.6,62.9,82.2
1984-06,0.02,45.4,64.4,83.4
1984-07,0.00,53.6,73.6,93.7
1984-08,0.00,51.9,71.4,90.9
1984-09,0.00,53.3,73.3,93.3
1984-10,1.17,41.8,58.0,74.3
1984-11,4.46,39.5,51.1,62.7
1984-12,2.84,35.3,45.6,55.9
1985-01,0.69,32.2,45.8,59.3
1985-02,1.48,34.4,49.6,64.8
1985-03,3.61,36.0,47.9,59.8
1985-04,0.26,42.1,57.9,73.7
1985-05,0.00,41.6,57.7,73.8
1985-06,0.03,49.2,67.7,86.3
1985-07,0.03,55.7,73.4,91.1
1985-08,0.00,49.9,68.8,87.7
1985-09,0.10,48.5,64.6,80.6
1985-10,0.82,44.9,60.3,75.7
1985-11,4.11,39.7,51.1,62.5
1985-12,1.37,35.4,49.1,62.8
1986-01,2.36,42.1,54.0,66.0
1986-02,8.87,41.5,52.3,63.1
1986-03,6.40,42.6,55.3,68.1
1986-04,1.25,40.5,54.0,67.6
1986-05,0.33,42.1,59.2,76.4
1986-06,0.00,48.0,65.2,82.5
1986-07,0.00,51.1,68.4,85.7
1986-08,0.00,51.9,70.2,88.6
1986-09,0.76,46.6,62.2,77.8
1986-10,0.00,46.2,61.8,77.5
1986-11,0.20,39.1,55.6,72.2
1986-12,0.96,35.8,49.5,63.2
1987-01,2.57,33.9,46.3,58.7
1987-02,4.00,36.5,49.4,62.2
1987-03,3.42,38.8,51.2,63.5
1987-04,0.31,41.1,58.4,75.6
1987-05,0.15,46.6,61.5,76.4
1987-06,0.00,47.3,64.8,82.4
1987-07,0.00,50.1,66.7,83.3
1987-08,0.00,50.7,68.7,86.8
1987-09,0.00,50.0,68.1,86.3
1987-10,1.58,51.4,65.0,78.7
1987-11,1.16,41.4,52.8,64.3
1987-12,4.03,36.9,46.5,56.1
1988-01,2.28,37.3,48.4,59.6
1988-02,1.26,34.4,51.5,68.6
1988-03,0.45,37.8,53.9,70.0
1988-04,1.56,38.8,53.5,68.3
1988-05,0.51,41.3,57.1,73.0
1988-06,0.24,47.3,63.8,80.4
1988-07,0.00,53.9,72.6,91.4
1988-08,0.00,52.7,70.2,87.7
1988-09,0.00,49.6,68.1,86.6
1988-10,0.00,48.0,63.6,79.2
1988-11,1.66,41.1,53.5,65.9
1988-12,3.92,33.0,46.2,59.3
1989-01,1.08,33.2,46.9,60.7
1989-02,1.38,38.9,50.3,61.7
1989-03,2.19,44.0,57.0,70.0
1989-04,0.51,44.2,59.8,75.4
1989-05,0.14,46.6,60.7,74.9
1989-06,0.00,51.6,66.8,82.0
1989-07,0.00,51.6,71.0,90.3
1989-08,0.00,48.7,67.3,85.9
1989-09,1.77,50.7,68.2,85.7
1989-10,1.62,46.7,61.6,76.5
1989-11,0.92,38.0,55.1,72.3
1989-12,0.07,31.3,49.3,67.3
1990-01,3.18,37.3,50.7,64.2
1990-02,3.12,36.4,49.2,62.1
1990-03,1.30,40.5,53.6,66.7
1990-04,0.33,43.5,58.1,72.8
1990-05,1.14,43.4,59.1,74.8
1990-06,0.00,46.9,65.5,84.2
1990-07,0.00,53.9,72.4,90.9
1990-08,0.00,53.1,70.5,87.9
1990-09,0.28,49.9,67.7,85.5
1990-10,0.00,46.9,64.8,82.6
1990-11,0.39,37.9,53.8,69.7
1990-12,1.52,27.6,43.3,58.9
1991-01,0.47,35.0,48.7,62.4
1991-02,2.66,38.6,54.7,70.9
1991-03,11.18,38.5,47.4,56.4
1991-04,0.32,39.3,53.6,67.9
1991-05,0.19,40.2,55.8,71.5
1991-06,0.05,45.6,61.9,78.2
1991-07,0.00,53.1,70.9,88.6
1991-08,0.05,51.6,69.2,86.7
1991-09,0.07,52.1,70.5,88.9
1991-10,0.93,49.2,65.9,82.6
1991-11,0.34,40.2,55.6,71.0
1991-12,4.29,34.9,49.0,63.1
1992-01,2.32,34.6,48.0,61.4
1992-02,8.13,42.0,52.9,63.8
1992-03,3.59,43.0,53.0,62.9
1992-04,0.04,44.1,59.3,74.5
1992-05,0.00,47.6,63.5,79.3
1992-06,0.00,49.3,64.9,80.4
1992-07,0.08,52.3,70.6,88.9
1992-08,0.00,54.2,73.1,92.0
1992-09,0.00,49.3,68.4,87.5
1992-10,1.02,49.6,64.9,80.3
1992-11,0.04,40.4,54.2,68.0
1992-12,5.69,34.1,45.4,56.8
1993-01,10.54,36.0,46.0,55.9
1993-02,7.90,39.0,48.6,58.2
1993-03,2.97,42.8,55.2,67.6
1993-04,0.28,40.5,55.0,69.4
1993-05,0.38,44.5,60.6,76.7
1993-06,0.31,48.0,66.9,85.8
1993-07,0.00,49.8,68.1,86.3
1993-08,0.00,51.5,70.2,88.8
1993-09,0.00,49.8,67.9,86.1
1993-10,0.15,45.5,62.6,79.7
1993-11,1.45,40.0,54.1,68.2
1993-12,1.78,35.4,48.1,60.9
1994-01,2.54,33.8,49.5,65.3
1994-02,5.71,35.9,47.9,60.0
1994-03,0.79,40.1,53.8,67.4
1994-04,1.39,40.2,54.5,68.8
1994-05,1.44,43.2,57.7,72.2
1994-06,0.01,46.5,65.6,84.7
1994-07,0.00,51.6,68.9,86.2
1994-08,0.00,50.9,70.5,90.1
1994-09,0.20,49.8,66.8,83.8
1994-10,0.65,44.7,60.3,76.0
1994-11,2.27,35.6,47.5,59.4
1994-12,1.50,34.3,46.1,58.0
1995-01,13.30,43.8,49.9,55.9
1995-02,1.36,40.9,53.5,66.1
1995-03,10.59,40.8,51.3,61.8
1995-04,1.24,40.9,53.6,66.2
1995-05,0.77,44.1,56.6,69.1
1995-06,0.51,46.7,62.9,79.1
1995-07,0.15,52.6,71.0,89.4
1995-08,0.00,51.0,70.3,89.7
1995-09,0.00,50.1,68.1,86.0
1995-10,0.00,46.5,63.8,81.1
1995-11,0.11,44.8,60.0,75.2
1995-12,3.82,39.7,50.4,61.0
1996-01,4.58,38.1,50.4,62.7
1996-02,7.29,42.4,52.4,62.4
1996-03,2.25,40.4,53.1,65.8
1996-04,1.11,42.4,57.0,71.5
1996-05,0.99,45.7,61.7,77.8
1996-06,0.00,48.0,65.5,83.1
1996-07,0.00,55.4,74.3,93.3
1996-08,0.00,54.5,73.2,92.0
1996-09,0.00,47.9,66.1,84.3
1996-10,2.28,45.0,60.9,76.8
1996-11,2.94,42.0,53.7,65.4
1996-12,7.54,40.2,50.5,60.8
1997-01,8.68,42.5,50.7,58.9
1997-02,0.29,37.7,50.5,63.2
1997-03,0.08,39.8,55.5,71.3
1997-04,0.18,41.0,55.9,70.8
1997-05,0.04,48.8,65.5,82.3
1997-06,0.04,47.4,63.8,80.3
1997-07,0.00,51.9,69.3,86.6
1997-08,0.12,52.9,70.1,87.3
1997-09,0.00,52.1,69.8,87.4
1997-10,0.22,45.4,61.1,76.8
1997-11,4.87,45.1,56.4,67.6
1997-12,4.51,36.0,47.2,58.5
1998-01,6.48,40.7,50.0,59.3
1998-02,15.62,40.9,47.8,54.6
1998-03,2.97,41.5,51.6,61.7
1998-04,3.18,41.2,52.2,63.2
1998-05,2.84,43.3,53.9,64.5
1998-06,0.16,48.5,61.3,74.2
1998-07,0.00,54.0,70.8,87.5
1998-08,0.00,56.0,74.2,92.4
