PRISM Time Series Data
Location:  Lat: 40.0047   Lon: -120.8386   Elev: 5968ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,9.75,27.7,37.0,46.3
1981-02,4.41,26.2,36.5,46.9
1981-03,7.05,25.6,35.7,45.7
1981-04,1.50,31.9,44.8,57.7
1981-05,1.83,37.3,50.2,63.2
1981-06,0.05,46.3,61.2,76.1
1981-07,0.00,50.5,66.3,82.2
1981-08,0.00,52.2,68.4,84.5
1981-09,1.80,43.3,60.8,78.3
1981-10,6.39,32.9,45.0,57.1
1981-11,15.11,31.9,40.4,48.8
1981-12,8.92,28.8,36.6,44.5
1982-01,5.80,20.1,29.1,38.0
1982-02,6.84,25.6,35.3,45.1
1982-03,9.60,24.2,32.5,40.7
1982-04,7.52,26.2,37.1,47.9
1982-05,0.18,38.0,51.6,65.2
1982-06,1.62,39.9,54.5,69.2
1982-07,0.54,48.1,62.4,76.7
1982-08,0.22,48.9,63.8,78.7
1982-09,1.92,42.1,55.2,68.4
1982-10,6.21,34.8,46.0,57.2
1982-11,7.56,26.5,35.5,44.6
1982-12,8.37,22.6,32.3,42.0
1983-01,9.45,26.1,35.3,44.6
1983-02,15.55,25.6,33.7,41.9
1983-03,14.76,25.6,33.2,40.7
1983-04,4.70,24.7,35.1,45.5
1983-05,1.11,32.9,47.6,62.2
1983-06,0.88,40.5,55.0,69.5
1983-07,0.03,44.2,58.8,73.5
1983-08,0.56,49.8,63.5,77.3
1983-09,1.37,45.9,59.8,73.7
1983-10,2.62,38.9,50.7,62.6
1983-11,12.76,28.6,35.9,43.2
1983-12,12.69,26.3,32.3,38.4
1984-01,0.79,27.0,38.3,49.7
1984-02,5.98,25.7,36.6,47.6
1984-03,4.94,29.1,41.5,53.9
1984-04,2.44,27.6,39.7,51.8
1984-05,0.58,38.8,52.4,65.9
1984-06,1.03,40.5,55.8,71.1
1984-07,0.38,54.0,68.8,83.6
1984-08,0.48,51.3,65.7,80.0
1984-09,0.52,48.7,61.9,75.1
1984-10,2.59,32.6,44.0,55.4
1984-11,9.36,27.0,34.8,42.7
1984-12,1.88,21.9,31.4,41.0
1985-01,1.58,24.8,35.1,45.4
1985-02,5.02,24.7,35.6,46.6
1985-03,5.77,23.1,33.4,43.6
1985-04,0.57,34.6,47.4,60.3
1985-05,0.12,36.1,49.7,63.4
1985-06,0.13,47.1,62.3,77.5
1985-07,0.28,54.3,68.9,83.5
1985-08,0.07,49.6,64.5,79.4
1985-09,2.89,41.4,54.2,67.0
1985-10,1.71,37.3,49.4,61.5
1985-11,5.03,25.6,34.6,43.6
1985-12,3.21,27.4,37.3,47.2
1986-01,7.18,31.0,39.4,47.8
1986-02,22.88,28.5,36.2,43.8
1986-03,8.05,32.5,42.3,52.1
1986-04,2.24,30.4,42.2,54.0
1986-05,2.52,36.0,49.2,62.4
1986-06,0.11,45.5,61.0,76.5
1986-07,0.42,49.3,63.7,78.2
1986-08,0.00,53.0,68.7,84.5
1986-09,7.89,40.0,52.6,65.2
1986-10,0.51,37.6,49.7,61.8
1986-11,0.49,31.9,43.1,54.3
1986-12,1.45,27.5,37.3,47.1
1987-01,5.75,22.0,30.9,39.7
1987-02,6.38,26.0,34.8,43.7
1987-03,6.69,26.7,35.7,44.7
1987-04,0.31,35.8,49.2,62.7
1987-05,0.66,40.0,52.4,64.8
1987-06,0.26,45.1,61.1,77.1
1987-07,0.48,45.9,61.4,76.9
1987-08,0.00,52.1,67.7,83.4
1987-09,0.11,47.3,63.4,79.4
1987-10,1.01,43.8,57.2,70.6
1987-11,1.58,30.1,39.7,49.3
1987-12,7.60,23.0,29.5,36.0
1988-01,3.92,24.6,32.6,40.6
1988-02,1.62,29.3,41.0,52.7
1988-03,1.38,29.0,41.1,53.3
1988-04,2.20,33.0,43.9,54.8
1988-05,1.47,34.5,47.1,59.8
1988-06,1.14,43.1,56.6,70.1
1988-07,0.45,55.3,69.7,84.0
1988-08,0.04,54.3,68.6,82.9
1988-09,0.02,49.3,63.9,78.5
1988-10,0.68,45.1,59.9,74.7
1988-11,7.99,29.3,36.5,43.8
1988-12,3.58,23.5,33.7,43.8
1989-01,2.38,20.5,31.3,42.1
1989-02,3.54,19.3,29.1,38.9
1989-03,16.50,28.1,36.6,45.1
1989-04,1.59,34.4,47.3,60.1
1989-05,1.50,34.8,48.4,62.0
1989-06,1.10,42.9,57.4,71.9
1989-07,0.00,49.3,64.5,79.7
1989-08,0.99,47.7,61.6,75.6
1989-09,3.28,44.6,58.1,71.7
1989-10,6.81,35.8,46.9,58.1
1989-11,3.46,30.8,43.3,55.7
1989-12,0.21,26.6,40.3,53.9
1990-01,6.04,22.8,32.4,42.0
1990-02,6.18,19.7,29.6,39.5
1990-03,2.81,28.1,38.7,49.3
1990-04,1.21,35.7,47.2,58.7
1990-05,3.73,36.1,46.9,57.8
1990-06,1.06,41.3,54.8,68.3
1990-07,0.15,52.6,66.1,79.6
1990-08,0.59,50.7,65.0,79.3
1990-09,2.20,46.5,61.3,76.1
1990-10,0.58,40.2,54.4,68.6
1990-11,1.58,28.4,40.6,52.8
1990-12,1.45,18.8,29.8,40.7
1991-01,0.64,23.8,35.2,46.6
1991-02,2.10,30.9,42.7,54.4
1991-03,15.17,22.2,30.6,38.9
1991-04,1.84,26.8,39.0,51.2
1991-05,2.59,31.3,43.8,56.2
1991-06,1.30,39.8,54.1,68.4
1991-07,1.51,52.3,66.9,81.6
1991-08,0.59,48.0,63.5,79.0
1991-09,0.17,47.6,64.7,81.8
1991-10,1.42,41.2,56.5,71.9
1991-11,2.27,30.6,41.9,53.1
1991-12,3.42,25.2,36.3,47.5
1992-01,1.83,24.9,35.6,46.3
1992-02,9.69,29.2,37.0,44.8
1992-03,2.86,28.3,39.2,50.2
1992-04,2.15,33.5,46.5,59.6
1992-05,0.78,42.8,56.9,70.9
1992-06,1.59,42.8,57.3,71.9
1992-07,0.68,48.0,62.5,76.9
1992-08,0.18,51.0,66.9,82.8
1992-09,0.04,46.9,61.3,75.6
1992-10,2.06,39.6,52.9,66.3
1992-11,1.81,28.5,40.0,51.5
1992-12,10.70,21.5,30.7,40.0
1993-01,15.01,20.1,28.5,36.9
1993-02,11.42,23.5,31.6,39.7
1993-03,5.73,30.4,40.7,51.0
1993-04,2.90,28.8,40.2,51.5
1993-05,2.21,36.4,49.0,61.6
1993-06,2.81,40.4,53.7,67.1
1993-07,0.02,46.1,60.8,75.4
1993-08,0.45,46.7,62.2,77.6
1993-09,0.31,42.6,59.5,76.4
1993-10,3.66,38.4,50.6,62.8
1993-11,2.09,26.7,39.9,53.1
1993-12,4.83,23.4,34.2,45.0
1994-01,2.51,25.9,35.9,45.8
1994-02,8.55,23.6,33.1,42.6
1994-03,1.86,31.2,41.6,52.0
1994-04,1.50,32.6,44.3,56.1
1994-05,2.11,38.1,50.2,62.3
1994-06,0.12,44.1,58.3,72.4
1994-07,0.00,54.8,70.4,85.9
1994-08,0.00,54.2,68.5,82.8
1994-09,0.29,48.7,63.1,77.6
1994-10,0.67,37.7,50.9,64.2
1994-11,8.18,23.4,31.4,39.5
1994-12,5.76,25.6,32.9,40.2
1995-01,24.16,26.6,31.8,37.1
1995-02,2.70,32.7,42.9,53.1
1995-03,22.17,26.9,33.9,40.9
1995-04,7.25,29.4,39.1,48.7
1995-05,5.94,34.3,46.2,58.2
1995-06,3.62,42.0,54.2,66.5
1995-07,0.38,50.9,64.3,77.7
1995-08,0.00,54.7,67.5,80.4
1995-09,0.00,50.5,63.9,77.3
1995-10,0.00,38.4,53.6,68.7
1995-11,0.54,34.4,45.6,56.8
1995-12,9.24,27.4,35.0,42.6
