PRISM Time Series Data
Location:  Lat: 37.0562   Lon: -122.0018   Elev: 614ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,10.82,40.8,51.7,62.5
1981-02,3.04,40.0,52.4,64.7
1981-03,7.64,40.6,52.5,64.5
1981-04,0.28,40.7,56.2,71.7
1981-05,0.35,45.1,59.5,74.0
1981-06,0.00,49.6,67.0,84.4
1981-07,0.00,48.5,64.8,81.2
1981-08,0.00,48.2,65.2,82.2
1981-09,0.27,48.5,64.7,80.9
1981-10,3.30,41.9,58.1,74.3
1981-11,11.86,45.1,55.8,66.6
1981-12,7.29,40.6,50.5,60.3
1982-01,16.16,33.6,45.4,57.1
1982-02,6.42,40.0,52.0,64.0
1982-03,12.03,40.2,51.1,61.9
1982-04,9.21,42.0,55.0,68.0
1982-05,0.02,45.2,58.2,71.1
1982-06,0.36,49.6,60.8,72.1
1982-07,0.00,50.3,65.1,79.9
1982-08,0.05,50.4,66.3,82.2
1982-09,1.39,49.8,66.0,82.1
1982-10,4.09,45.5,61.2,76.9
1982-11,9.12,40.8,52.6,64.4
1982-12,9.85,38.5,48.5,58.5
1983-01,15.43,39.0,50.4,61.7
1983-02,13.68,42.6,52.1,61.7
1983-03,18.41,44.0,53.4,62.9
1983-04,8.19,42.4,54.1,65.8
1983-05,1.05,45.9,59.4,72.9
1983-06,0.01,49.3,63.0,76.6
1983-07,0.00,50.4,66.9,83.4
1983-08,0.18,53.3,69.0,84.7
1983-09,1.06,53.6,70.0,86.4
1983-10,1.18,48.3,63.7,79.1
1983-11,13.34,43.3,53.4,63.6
1983-12,13.17,43.3,50.4,57.6
1984-01,0.60,37.6,49.8,62.0
1984-02,2.93,38.8,50.7,62.7
1984-03,2.44,41.5,55.7,70.0
1984-04,1.24,40.4,54.8,69.2
1984-05,0.06,45.1,62.8,80.5
1984-06,0.17,47.1,61.8,76.5
1984-07,0.00,52.2,67.9,83.5
1984-08,0.00,51.5,67.6,83.7
1984-09,0.09,51.7,71.2,90.6
1984-10,3.15,45.6,59.9,74.2
1984-11,13.15,42.0,51.7,61.4
1984-12,3.10,36.6,46.5,56.4
1985-01,1.39,35.3,47.1,58.9
1985-02,4.15,37.2,50.9,64.7
1985-03,7.49,38.0,50.2,62.3
1985-04,0.40,44.2,58.4,72.6
1985-05,0.17,43.6,58.0,72.4
