PRISM Time Series Data
Location:  Lat: 39.0636   Lon: -120.7175   Elev: 3346ft
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1981-01 - 2018-06
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Jan-10
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
1981-01,11.04,37.1,46.2,55.4
1981-02,3.81,34.7,45.3,55.9
1981-03,9.30,34.4,44.5,54.6
1981-04,1.75,40.2,52.8,65.4
1981-05,2.27,46.5,58.6,70.8
1981-06,0.02,57.0,70.5,84.1
1981-07,0.00,58.9,74.3,89.6
1981-08,0.00,61.7,76.5,91.3
1981-09,1.16,53.0,68.7,84.4
1981-10,6.50,42.8,53.5,64.3
1981-11,17.97,41.6,49.1,56.7
1981-12,18.71,36.8,44.6,52.5
1982-01,12.01,29.7,38.3,47.0
1982-02,9.63,34.4,44.4,54.4
1982-03,15.30,32.3,41.2,50.0
1982-04,11.80,35.5,46.1,56.8
1982-05,0.37,47.2,60.0,72.8
1982-06,0.93,49.3,62.6,75.9
1982-07,0.07,56.4,70.0,83.5
1982-08,0.06,57.9,72.2,86.5
1982-09,3.83,51.4,63.8,76.2
1982-10,8.93,44.1,54.9,65.7
1982-11,12.10,35.9,44.2,52.5
1982-12,11.53,30.6,40.2,49.8
1983-01,10.89,34.8,44.0,53.2
1983-02,15.53,34.1,42.6,51.0
1983-03,19.61,34.3,42.3,50.2
1983-04,8.17,34.2,43.9,53.7
1983-05,1.92,44.5,57.1,69.7
1983-06,0.45,51.1,64.2,77.3
1983-07,0.13,54.3,67.4,80.5
1983-08,0.28,59.7,71.6,83.6
1983-09,1.85,56.7,69.2,81.6
1983-10,3.22,49.2,60.0,70.9
1983-11,20.77,38.0,44.5,51.0
1983-12,18.32,35.1,40.9,46.7
1984-01,0.61,36.1,47.5,58.9
1984-02,7.63,34.0,45.1,56.2
1984-03,4.72,38.1,50.4,62.8
1984-04,3.95,36.5,48.1,59.7
1984-05,1.75,49.2,61.7,74.1
1984-06,1.39,52.7,65.4,78.1
