mean_temp,max_temp,date
73.40000000000001,88.09999999999999,01jun1996
81.09999999999999,94.40000000000001,01jul1996
80.2,93.90000000000001,01aug1996
70.40000000000001,82.8,01sep1996
58,70.09999999999999,01oct1996
47.8,57.8,01nov1996
42.2,50.8,01dec1996
39.5,48.1,01jan1997
43.8,54.5,01feb1997
53.2,66.40000000000001,01mar1997
54.3,67.3,01apr1997
68.2,82.40000000000001,01may1997
70.3,83.7,01jun1997
76.09999999999999,89.40000000000001,01jul1997
78.3,90.8,01aug1997
70.3,82.7,01sep1997
57.6,70.59999999999999,01oct1997
47.9,58.4,01nov1997
37.3,46.9,01dec1997
40.5,49.5,01jan1998
37.8,46.3,01feb1998
46.4,57.3,01mar1998
47.8,60.8,01apr1998
54.1,66.09999999999999,01may1998
64.90000000000001,78.40000000000001,01jun1998
79.40000000000001,92.5,01jul1998
79.90000000000001,93.40000000000001,01aug1998
68.2,80.3,01sep1998
55.9,68.3,01oct1998
46.3,57,01nov1998
40.6,52,01dec1998
44.1,54.4,01jan1999
43,53.9,01feb1999
47.2,59.3,01mar1999
48.9,61.3,01apr1999
62.5,76.09999999999999,01may1999
70.8,84.59999999999999,01jun1999
76.8,89.3,01jul1999
75.8,88.40000000000001,01aug1999
71.5,84.7,01sep1999
65.40000000000001,78,01oct1999
52.6,64.5,01nov1999
43.3,54.4,01dec1999
41.1,49.6,01jan2000
41.4,51.3,01feb2000
48.1,60.2,01mar2000
58,72.40000000000001,01apr2000
67.2,81.5,01may2000
74.8,89.09999999999999,01jun2000
78.5,91.5,01jul2000
79.3,91.7,01aug2000
70.5,82.7,01sep2000
57.1,69.5,01oct2000
42.9,54.1,01nov2000
45.9,57,01dec2000
37.4,47.3,01jan2001
37.3,46.9,01feb2001
50.6,62.2,01mar2001
51,63.8,01apr2001
70.7,84.5,01may2001
75.5,89.2,01jun2001
77.09999999999999,89,01jul2001
80.59999999999999,93.5,01aug2001
73.90000000000001,86.2,01sep2001
65.5,77.59999999999999,01oct2001
47.6,57.9,01nov2001
37.8,47,01dec2001
40.2,50,01jan2002
46.2,58.6,01feb2002
46.4,58.4,01mar2002
57.4,71.5,01apr2002
63.4,77.59999999999999,01may2002
76,90.2,01jun2002
82.90000000000001,95.5,01jul2002
79,92,01aug2002
72.40000000000001,85.59999999999999,01sep2002
58.5,71.8,01oct2002
49.6,60,01nov2002
37.4,46.8,01dec2002
47.8,58,01jan2003
42.4,53.1,01feb2003
49,60.8,01mar2003
49.4,61.1,01apr2003
63.7,76.7,01may2003
74.09999999999999,88.2,01jun2003
83.5,96.5,01jul2003
78.90000000000001,90.59999999999999,01aug2003
75.59999999999999,89.2,01sep2003
67.40000000000001,80.59999999999999,01oct2003
42.5,52,01nov2003
39.4,48.5,01dec2003
40,49.5,01jan2004
38.9,48.3,01feb2004
56,69.40000000000001,01mar2004
56.7,69.7,01apr2004
64.3,78.5,01may2004
74.2,89.2,01jun2004
79.8,93.40000000000001,01jul2004
78,90,01aug2004
