max_temp,year
109.3,1981
104.5,1982
106.2,1983
105.3,1984
109.1,1985
104.6,1986
104.8,1987
109.9,1988
110.3,1989
107.8,1990
106.9,1991
104.5,1992
105.3,1993
110,1994
108.9,1995
110.8,1996
106.3,1997
109.7,1998
105.5,1999
108.3,2000
106.3,2001
110.3,2002
111.1,2003
108.4,2004
110.9,2005
110.8,2006
109.3,2007
108.4,2008
110.3,2009
108.9,2010
105.9,2011
105.9,2012
108.3,2013
107.9,2014
102.5,2015
109.2,2016
110.1,2017
