max_temp,year
92.90000000000001,1981
87.59999999999999,1982
87.5,1983
90.09999999999999,1984
92.5,1985
87.90000000000001,1986
87.09999999999999,1987
94.5,1988
94.40000000000001,1989
92.8,1990
91.7,1991
87.40000000000001,1992
89.09999999999999,1993
94.40000000000001,1994
90.7,1995
94.40000000000001,1996
89.40000000000001,1997
92.5,1998
89.3,1999
91.5,2000
89,2001
95.5,2002
96.5,2003
93.40000000000001,2004
95.90000000000001,2005
95.59999999999999,2006
93.5,2007
93.7,2008
96.2,2009
91.40000000000001,2010
90.8,2011
91.3,2012
95.2,2013
95.59999999999999,2014
87.8,2015
95.09999999999999,2016
95.90000000000001,2017
